"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 분당구 야탑동","3**","다가구","25m미만","439.52","221.00","202604","28","180,000","개인","개인","1997","장미로86번길","-","중개거래","서울 중랑구"
"2","경기도 성남시 분당구 대장동","*","단독","8m미만","613.62","1092.00","202604","20","620,000","법인","개인","2023","두밀로123번길","-","중개거래","인천 남동구"
"3","경기도 성남시 분당구 정자동","2**","단독","12m미만","393.84","203.80","202604","16","186,000","개인","개인","1998","불곡남로22번길","-","중개거래","경기 성남시 분당구, 경기 성남시 수정구"
"4","경기도 성남시 분당구 정자동","5*","단독","8m미만","473.44","248.70","202604","16","155,000","개인","개인","1997","내정로113번길","-","직거래","-"
"5","경기도 성남시 분당구 구미동","5*","단독","8m미만","460.56","231.20","202604","15","180,000","개인","개인","1996","미금일로80번길","-","중개거래","경기 성남시 분당구"
"6","경기도 성남시 분당구 정자동","2**","다가구","8m미만","391.98","203.30","202604","14","124,000","개인","개인","1998","불곡남로25번길","-","중개거래","경기 용인시 처인구"
"7","경기도 성남시 분당구 백현동","5**","단독","12m미만","318.77","235.00","202604","12","365,000","개인","개인","2017","판교역로50번길","-","중개거래","경기 성남시 분당구"
"8","경기도 성남시 분당구 분당동","1**","다가구","8m미만","413.03","221.20","202604","10","151,000","개인","개인","1996","장안로4번길","-","중개거래","경기 성남시 분당구"
"9","경기도 성남시 분당구 수내동","9*","다가구","12m미만","387.52","196.60","202604","04","137,000","개인","개인","2001","발이봉로15번길","-","중개거래","경기 성남시 분당구"
"10","경기도 성남시 분당구 정자동","2**","다가구","25m미만","423.74","213.00","202604","02","200,000","개인","개인","1998","불곡남로13번길","-","중개거래","경기 성남시 분당구"
"11","경기도 성남시 분당구 정자동","6*","다가구","8m미만","451.12","230.30","202603","28","190,000","개인","개인","1997","느티로69번길","-","중개거래","경기 성남시 분당구"
"12","경기도 성남시 분당구 운중동","9**","단독","8m미만","540.68","169.60","202603","26","398,212","개인","개인","2022","산운로185번길","-","직거래","-"
"13","경기도 성남시 분당구 백현동","5**","단독","12m미만","291.94","236.30","202603","22","247,000","개인","개인","2012","판교역로44번길","-","중개거래","경기 성남시 분당구"
"14","경기도 성남시 분당구 분당동","1**","다가구","8m미만","399.83","202.80","202603","17","184,000","개인","개인","2003","장안로4번길","-","중개거래","경기 성남시 분당구"
"15","경기도 성남시 분당구 백현동","3**","단독","12m미만","49.40","76.00","202603","16","44,500","개인","개인","2017","대왕판교로385번길","-","중개거래","경기 성남시 분당구"
