"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 수정구 수진동","1***","다가구","8m미만","159.12","66.10","202605","08","75,000","개인","개인","1990","제일로110번길","-","직거래","-"
"2","경기도 성남시 수정구 태평동","6***","단독","12m미만","225.47","108.80","202605","07","61,000","개인","개인","1989","모란로","-","직거래","-"
"3","경기도 성남시 수정구 수진동","4***","다가구","8m미만","133.08","64.50","202605","06","33,500","개인","개인","1994","제일로109번길","-","직거래","-"
"4","경기도 성남시 수정구 수진동","3***","다가구","8m미만","111.34","67.10","202605","06","47,000","개인","개인","1985","성남대로1210번길","-","직거래","-"
"5","경기도 성남시 수정구 신촌동","2**","다가구","8m미만","495.18","400.00","202605","06","300,000","개인","개인","2021","신촌남로","-","직거래","-"
"6","경기도 성남시 수정구 수진동","4***","단독","8m미만","45.62","60.19","202605","05","28,000","개인","개인","1974","제일로109번길","20260506","직거래","-"
"7","경기도 성남시 수정구 수진동","4***","단독","8m미만","38.35","63.80","202605","05","30,000","개인","개인","1974","제일로109번길","-","직거래","-"
"8","경기도 성남시 수정구 신흥동","4***","다가구","8m미만","126.81","61.20","202604","29","50,000","개인","개인","1994","산성대로269번길","-","직거래","-"
"9","경기도 성남시 수정구 수진동","2***","다가구","8m미만","129.37","66.10","202604","25","95,000","개인","개인","1990","산성대로157번길","-","중개거래","경기 성남시 수정구"
"10","경기도 성남시 수정구 신흥동","4***","다가구","8m미만","113.08","60.50","202604","24","75,000","개인","개인","1991","산성대로269번길","-","중개거래","경기 성남시 수정구"
"11","경기도 성남시 수정구 수진동","1**","단독","12m미만","48.99","57.20","202604","22","105,000","개인","개인","1972","수정남로","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"12","경기도 성남시 수정구 신흥동","5***","다가구","8m미만","103.58","65.50","202604","22","79,000","개인","개인","1989","수정남로88번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"13","경기도 성남시 수정구 태평동","1***","다가구","8m미만","97.71","61.50","202604","22","41,400","개인","개인","1987","남문로107번길","-","중개거래","경기 성남시 수정구"
"14","경기도 성남시 수정구 수진동","8**","다가구","8m미만","101.37","67.80","202604","22","98,000","개인","개인","1988","수정남로66번길","-","중개거래","경기 성남시 수정구"
"15","경기도 성남시 수정구 수진동","1***","다가구","8m미만","142.35","65.50","202604","21","96,000","개인","개인","1994","산성대로173번길","-","중개거래","경기 성남시 수정구"
"16","경기도 성남시 수정구 수진동","3***","단독","8m미만","121.29","71.10","202604","21","82,000","개인","개인","1989","수정로74번길","-","중개거래","경기 성남시 수정구"
"17","경기도 성남시 수정구 태평동","4***","다가구","8m미만","96.98","53.60","202604","20","59,000","개인","개인","1998","탄리로151번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"18","경기도 성남시 수정구 수진동","7**","다가구","8m미만","108.18","60.50","202604","18","90,000","개인","개인","1991","탄리로45번길","-","중개거래","경기 성남시 수정구"
"19","경기도 성남시 수정구 수진동","1***","단독","8m미만","106.08","62.50","202604","17","90,000","개인","개인","1992","제일로110번길","-","중개거래","경기 성남시 수정구"
"20","경기도 성남시 수정구 수진동","6**","다가구","8m미만","132.13","65.50","202604","16","92,500","개인","개인","2007","탄리로53번길","-","중개거래","경기 성남시 수정구"
