"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 중원구 하대원동","1**","단독","8m미만","185.22","113.20","202605","06","60,000","개인","개인","1990","마지로163번길","-","직거래","-"
"2","경기도 성남시 중원구 하대원동","1**","단독","8m미만","184.34","99.20","202605","02","63,000","개인","개인","1989","시민로9번길","-","중개거래","경기 성남시 중원구"
"3","경기도 성남시 중원구 중앙동","4**","단독","8m미만","94.27","66.80","202604","30","46,000","개인","개인","1973","공원로320번길","-","직거래","-"
"4","경기도 성남시 중원구 상대원동","2***","단독","12m미만","79.34","69.40","202604","28","50,000","개인","개인","1979","희망로344번길","-","중개거래","경기 성남시 중원구"
"5","경기도 성남시 중원구 성남동","4***","단독","8m미만","103.51","104.00","202604","23","56,700","개인","개인","1979","산성대로68번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"6","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","120.33","66.40","202604","21","55,000","개인","개인","1989","박석로49번길","-","중개거래","경기 성남시 수정구"
"7","경기도 성남시 중원구 금광동","3***","다가구","8m미만","178.38","118.70","202604","19","43,000","개인","개인","1991","자혜로36번길","-","중개거래","경기 성남시 중원구"
"8","경기도 성남시 중원구 상대원동","2***","단독","8m미만","114.77","64.10","202604","18","48,000","개인","개인","1989","희망로344번길","-","중개거래","경기 성남시 수정구"
"9","경기도 성남시 중원구 금광동","4***","단독","8m미만","165.66","96.30","202604","16","60,000","개인","개인","1986","산성대로414번길","-","중개거래","경기 성남시 중원구, 경기 수원시 영통구"
"10","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","135.10","68.80","202604","07","57,000","개인","개인","1990","금상로58번길","-","중개거래","경기 성남시 중원구"
"11","경기도 성남시 중원구 금광동","3***","단독","8m미만","194.55","112.40","202604","03","72,000","개인","개인","2026","자혜로48번길","-","중개거래","경기 성남시 중원구"
"12","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","131.45","69.40","202604","03","47,000","개인","개인","1995","희망로344번길","-","중개거래","경기 성남시 중원구"
"13","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","121.27","63.50","202604","01","51,800","개인","개인","1989","금상로18번길","-","중개거래","경기 성남시 중원구, 서울 서대문구"
"14","경기도 성남시 중원구 성남동","4***","다가구","12m미만","446.65","280.70","202603","30","250,000","개인","개인","2017","둔촌대로52번길","-","중개거래","경기 성남시 중원구"
"15","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","130.54","66.80","202603","30","57,500","개인","개인","1991","박석로87번길","-","중개거래","경기 성남시 중원구"
"16","경기도 성남시 중원구 중앙동","2**","단독","8m미만","33.06","69.40","202603","28","97,000","개인","개인","1972","광명로","-","중개거래","경기 성남시 중원구"
"17","경기도 성남시 중원구 은행동","1***","다가구","8m미만","100.92","49.50","202603","27","22,000","개인","개인","1991","은이로43번길","-","직거래","-"
"18","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","75.94","63.10","202603","26","42,000","개인","개인","1985","박석로63번길","-","중개거래","경기 성남시 중원구"
"19","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","121.80","65.10","202603","22","52,500","개인","개인","1991","박석로85번길","-","중개거래","경기 성남시 중원구"
"20","경기도 성남시 중원구 금광동","3***","다가구","12m미만","787.87","201.00","202603","21","180,000","개인","개인","1991","광명로361번길","-","중개거래","경기 성남시 중원구"
"21","경기도 성남시 중원구 상대원동","9**","다가구","8m미만","71.46","59.80","202603","20","47,000","개인","개인","1982","박석로62번길","-","중개거래","경기 성남시 중원구"
"22","경기도 성남시 중원구 하대원동","1**","다가구","8m미만","187.32","92.50","202603","18","64,500","개인","개인","1987","마지로155번길","-","중개거래","경기 성남시 수정구"
"23","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","114.11","67.80","202603","16","60,000","개인","개인","2000","희망로344번길","-","중개거래","경기 성남시 수정구"
"24","경기도 성남시 중원구 중앙동","3**","다가구","8m미만","181.40","64.10","202603","16","102,000","개인","개인","1992","산성대로","-","중개거래","경기 성남시 중원구"
"25","경기도 성남시 중원구 상대원동","2***","단독","8m미만","35.77","65.50","202603","13","43,000","개인","개인","1984","박석로93번길","20260504","중개거래","경기 성남시 중원구"
"26","경기도 성남시 중원구 상대원동","2***","단독","8m미만","35.77","65.50","202603","13","43,000","개인","개인","1984","박석로93번길","-","중개거래","경기 성남시 중원구"
"27","경기도 성남시 중원구 상대원동","2***","단독","12m미만","129.32","68.10","202603","12","56,000","개인","개인","1991","박석로79번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구, 서울 강남구"
"28","경기도 성남시 중원구 상대원동","2***","단독","12m미만","104.67","59.20","202603","12","53,400","개인","개인","1990","박석로93번길","-","중개거래","경기 성남시 수정구"
"29","경기도 성남시 중원구 상대원동","2***","단독","8m미만","132.02","68.10","202603","08","57,400","개인","개인","1990","박석로93번길","-","중개거래","경기 성남시 중원구"
"30","경기도 성남시 중원구 상대원동","1***","다가구","12m미만","173.83","66.80","202603","07","57,000","개인","개인","1987","박석로61번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"31","경기도 성남시 중원구 상대원동","2***","다가구","12m미만","109.37","70.40","202603","06","51,000","개인","개인","1977","희망로344번길","-","중개거래","경기 성남시 중원구"
"32","경기도 성남시 중원구 성남동","3***","다가구","8m미만","171.69","106.90","202602","27","75,300","개인","개인","1992","제일로35번길","-","중개거래","경기 성남시 중원구"
"33","경기도 성남시 중원구 중앙동","2***","단독","12m미만","29.85","70.40","202602","27","46,000","법인","개인","1973","산성대로334번길","-","중개거래","경기 성남시 중원구, 서울 광진구"
"34","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","122.33","68.80","202602","22","50,000","개인","개인","1988","박석로49번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"35","경기도 성남시 중원구 중앙동","2***","다가구","8m미만","113.94","70.40","202602","21","54,000","개인","개인","1992","광명로244번길","-","중개거래","경기 성남시 중원구"
"36","경기도 성남시 중원구 상대원동","2***","단독","8m미만","74.30","65.50","202602","20","48,800","개인","개인","1984","박석로75번길","-","중개거래","경기 성남시 중원구"
"37","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","124.69","65.10","202602","15","50,000","개인","개인","1990","박석로57번길","-","중개거래","경기 성남시 중원구"
"38","경기도 성남시 중원구 상대원동","2***","다가구","12m미만","111.49","65.50","202602","14","55,000","개인","개인","1987","금상로18번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"39","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","94.35","73.70","202602","13","50,000","개인","개인","1984","박석로52번길","-","직거래","-"
"40","경기도 성남시 중원구 금광동","3***","다가구","8m미만","178.40","117.40","202602","12","56,000","개인","개인","1989","광명로335번길","-","직거래","-"
"41","경기도 성남시 중원구 중앙동","2***","다가구","8m미만","236.33","78.70","202602","11","73,000","개인","개인","1992","광명로256번길","-","직거래","-"
"42","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","116.54","66.10","202602","11","51,000","개인","개인","1977","박석로49번길","-","중개거래","경기 성남시 중원구"
"43","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","129.55","70.40","202602","07","55,000","개인","개인","1999","둔촌대로389번길","-","중개거래","경기 성남시 중원구"
"44","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","113.36","66.80","202602","06","46,000","개인","개인","1987","박석로93번길","-","중개거래","경기 성남시 중원구"
"45","경기도 성남시 중원구 상대원동","2***","단독","8m미만","104.30","62.10","202602","06","57,000","개인","개인","1990","희망로344번길","-","중개거래","경기 성남시 중원구"
"46","경기도 성남시 중원구 상대원동","1***","다가구","12m미만","116.15","60.80","202602","05","42,000","개인","개인","1991","박석로49번길","-","중개거래","경기 성남시 중원구"
"47","경기도 성남시 중원구 중앙동","2***","다가구","12m미만","228.80","91.30","202602","05","95,600","개인","개인","1989","광명로264번길","-","중개거래","경기 성남시 중원구"
"48","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","83.07","65.10","202601","31","48,000","개인","개인","1985","박석로93번길","-","중개거래","경기 성남시 중원구"
"49","경기도 성남시 중원구 상대원동","1***","다가구","12m미만","329.60","120.00","202601","30","85,000","개인","개인","1991","희망로326번길","-","중개거래","경기 성남시 중원구"
"50","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","101.86","59.80","202601","29","43,000","개인","개인","1989","박석로85번길","-","중개거래","경기 성남시 중원구"
"51","경기도 성남시 중원구 은행동","5**","다가구","8m미만","312.44","165.60","202601","28","89,990","개인","개인","1989","순환로453번길","-","중개거래","경기 성남시 수정구"
"52","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","94.20","66.10","202601","28","47,000","개인","개인","1984","박석로61번길","-","중개거래","경기 성남시 중원구"
"53","경기도 성남시 중원구 상대원동","2***","단독","8m미만","116.90","64.10","202601","28","47,500","개인","개인","1988","희망로344번길","-","중개거래","경기 성남시 수정구"
"54","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","159.66","71.10","202601","28","48,000","개인","개인","2007","희망로344번길","-","직거래","-"
"55","경기도 성남시 중원구 상대원동","2***","다가구","8m미만","82.08","64.50","202601","28","46,000","개인","개인","1985","박석로","-","중개거래","경기 성남시 중원구"
"56","경기도 성남시 중원구 성남동","3***","다가구","8m미만","181.80","104.00","202601","24","85,000","개인","개인","1988","제일로43번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"57","경기도 성남시 중원구 은행동","2***","단독","8m미만","168.36","72.00","202601","23","44,000","개인","개인","1991","자혜로99번길","20260330","중개거래","경기 성남시 중원구"
"58","경기도 성남시 중원구 은행동","2***","다가구","8m미만","168.36","72.00","202601","23","44,000","개인","개인","1991","자혜로99번길","-","중개거래","경기 성남시 중원구"
"59","경기도 성남시 중원구 성남동","3***","다가구","8m미만","330.83","149.20","202601","22","95,000","개인","개인","1989","광명로32번길","-","중개거래","경기 성남시 중원구"
"60","경기도 성남시 중원구 중앙동","2*","다가구","8m미만","188.36","77.00","202601","22","100,000","개인","개인","1988","산성대로360번길","-","중개거래","경기 성남시 중원구"
"61","경기도 성남시 중원구 금광동","3***","다가구","8m미만","155.33","110.00","202601","21","55,000","개인","개인","1986","자혜로40번길","-","중개거래","경기 성남시 중원구"
"62","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","113.70","64.10","202601","21","52,000","개인","개인","1989","박석로62번길","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"63","경기도 성남시 중원구 하대원동","1**","단독","8m미만","205.62","101.70","202601","20","62,000","개인","개인","1987","시민로11번길","-","중개거래","경기 성남시 중원구"
"64","경기도 성남시 중원구 상대원동","1***","다가구","8m미만","101.51","67.80","202601","17","47,000","개인","개인","1985","박석로61번길","-","중개거래","경기 성남시 중원구"
