"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 분당구 야탑동","3**","8m미만","30.00","월세","202605","08","1,000","75","1996","야탑로161번길","202605~202805","신규","-","","","단독다가구"
"2","경기도 성남시 분당구 야탑동","3**","12m미만","25.00","월세","202605","08","1,000","45","1995","야탑로149번길","202605~202805","신규","-","","","단독다가구"
"3","경기도 성남시 분당구 야탑동","3**","8m미만","40.00","월세","202605","08","1,000","75","1996","장미로100번길","202606~202806","신규","-","","","단독다가구"
"4","경기도 성남시 분당구 수내동","9*","12m미만","22.00","월세","202605","08","500","25","1995","발이봉로15번길","202605~202705","신규","-","","","단독다가구"
"5","경기도 성남시 분당구 분당동","1**","12m미만","40.00","월세","202605","08","2,000","75","1996","분당로327번길","202607~202807","신규","-","","","단독다가구"
"6","경기도 성남시 분당구 운중동","9**","12m미만","62.00","전세","202605","08","30,000","0","2010","운중로138번길","202606~202806","신규","-","","","단독다가구"
"7","경기도 성남시 분당구 정자동","2**","12m미만","55.00","월세","202605","08","1,000","50","1996","불곡북로13번길","202606~202806","신규","-","","","단독다가구"
"8","경기도 성남시 분당구 정자동","2**","8m미만","50.00","월세","202605","08","2,000","90","1997","불곡남로4번길","202606~202806","신규","-","","","단독다가구"
"9","경기도 성남시 분당구 궁내동","3**","8m미만","211.49","월세","202605","07","20,000","200","2002","","202606~202806","신규","-","","","단독다가구"
"10","경기도 성남시 분당구 야탑동","4**","8m미만","23.30","월세","202605","07","2,000","50","2007","판교로592번길","202607~202807","신규","-","","","단독다가구"
"11","경기도 성남시 분당구 정자동","5*","12m미만","24.00","월세","202605","07","1,000","57","","내정로113번길","202607~202707","갱신","사용","1,000","55","단독다가구"
"12","경기도 성남시 분당구 정자동","5*","12m미만","24.00","월세","202605","07","1,000","58","1995","내정로113번길","202607~202707","갱신","사용","1,000","55","단독다가구"
"13","경기도 성남시 분당구 이매동","5*","8m미만","112.65","전세","202605","07","28,000","0","2001","방아로46번길","202606~202806","신규","-","","","단독다가구"
"14","경기도 성남시 분당구 수내동","9*","8m미만","50.38","월세","202605","06","2,000","90","1995","발이봉남로11번길","202607~202807","신규","-","","","단독다가구"
"15","경기도 성남시 분당구 분당동","1**","12m미만","17.00","월세","202605","06","5,000","25","2001","분당로311번길","202605~202805","신규","-","","","단독다가구"
"16","경기도 성남시 분당구 야탑동","3**","12m미만","46.05","전세","202605","06","20,000","0","1994","야탑로161번길","202606~202806","신규","-","","","단독다가구"
"17","경기도 성남시 분당구 분당동","1**","8m미만","50.00","월세","202605","05","12,000","30","1996","장안로4번길","202606~202806","갱신","-","12,000","30","단독다가구"
"18","경기도 성남시 분당구 정자동","3*","25m미만","25.00","월세","202605","05","4,000","40","2001","황새울로132번길","202605~202805","신규","-","","","단독다가구"
"19","경기도 성남시 분당구 대장동","6**","25m미만","50.15","전세","202605","04","33,600","0","2021","판교대장로7길","202606~202806","갱신","-","32,000","0","단독다가구"
"20","경기도 성남시 분당구 분당동","1**","12m미만","25.33","전세","202605","04","12,000","0","2001","분당로327번길","202606~202806","신규","-","","","단독다가구"
"21","경기도 성남시 분당구 수내동","9*","8m미만","48.85","전세","202605","04","17,000","0","1997","발이봉남로7번길","202606~202806","신규","-","","","단독다가구"
"22","경기도 성남시 분당구 이매동","7*","12m미만","37.18","월세","202605","04","8,000","85","2026","방아로","202605~202805","신규","-","","","단독다가구"
"23","경기도 성남시 분당구 서현동","8*","12m미만","23.14","월세","202605","04","2,000","40","2012","서현로237번길","202605~202805","신규","-","","","단독다가구"
"24","경기도 성남시 분당구 야탑동","2**","25m미만","26.11","월세","202605","04","500","50","1994","매화로48번길","202606~202806","신규","-","","","단독다가구"
"25","경기도 성남시 분당구 야탑동","4**","8m미만","17.00","월세","202605","04","6,000","30","2009","판교로592번길","202607~202807","신규","-","","","단독다가구"
"26","경기도 성남시 분당구 정자동","2**","8m미만","24.16","전세","202605","04","13,000","0","2002","불곡북로31번길","202606~202806","신규","-","","","단독다가구"
"27","경기도 성남시 분당구 판교동","5**","25m미만","206.73","전세","202605","04","131,250","0","2014","서판교로44번길","202606~202806","갱신","사용","125,000","0","단독다가구"
"28","경기도 성남시 분당구 수내동","9*","8m미만","23.00","전세","202605","04","10,000","0","2010","발이봉남로11번길","202606~202806","신규","-","","","단독다가구"
"29","경기도 성남시 분당구 수내동","1**","25m미만","96.00","월세","202605","04","27,000","15","1997","발이봉남로","202605~202805","갱신","-","27,000","0","단독다가구"
"30","경기도 성남시 분당구 정자동","1**","12m미만","38.00","월세","202605","04","5,000","70","1997","내정로7번길","202606~202806","신규","-","","","단독다가구"
"31","경기도 성남시 분당구 야탑동","2**","12m미만","30.00","월세","202605","04","1,000","52","2001","매화로56번길","202605~202805","신규","-","","","단독다가구"
"32","경기도 성남시 분당구 수내동","1**","12m미만","22.00","월세","202605","02","1,000","55","1997","발이봉로","202605~202805","신규","-","","","단독다가구"
"33","경기도 성남시 분당구 야탑동","3**","12m미만","83.52","월세","202605","02","1,000","40","1995","야탑로161번길","202605~202705","갱신","사용","1,000","40","단독다가구"
"34","경기도 성남시 분당구 야탑동","4**","8m미만","16.04","전세","202605","02","13,000","0","2002","판교로552번길","202606~202806","신규","-","","","단독다가구"
"35","경기도 성남시 분당구 야탑동","3**","8m미만","17.00","월세","202605","02","500","50","1996","장미로100번길","202607~202807","신규","-","","","단독다가구"
"36","경기도 성남시 분당구 백현동","5**","12m미만","114.41","전세","202605","01","53,600","0","2009","판교역로2번길","202608~202808","신규","-","","","단독다가구"
"37","경기도 성남시 분당구 궁내동","3**","12m미만","21.60","월세","202605","01","1,000","74","","궁내로22번길","202605~202705","갱신","-","1,000","71","단독다가구"
