"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 수정구 신흥동","5***","8m미만","107.91","전세","202605","08","20,000","0","1990","수정로170번길","202605~202805","신규","-","","","단독다가구"
"2","경기도 성남시 수정구 신흥동","6***","8m미만","40.50","전세","202605","08","10,000","0","1994","산성대로215번길","202605~202805","신규","-","","","단독다가구"
"3","경기도 성남시 수정구 고등동","5**","25m미만","49.60","전세","202605","08","32,000","0","2020","고등로4길","202605~202805","갱신","-","31,500","0","단독다가구"
"4","경기도 성남시 수정구 태평동","5***","8m미만","20.86","전세","202605","07","7,000","0","2006","남문로17번길","202606~202806","신규","-","","","단독다가구"
"5","경기도 성남시 수정구 태평동","3***","8m미만","51.70","전세","202605","07","14,000","0","1997","남문로102번길","202605~202805","갱신","-","12,000","0","단독다가구"
"6","경기도 성남시 수정구 고등동","6**","12m미만","47.09","월세","202605","07","10,000","100","2020","청계산로4길","202606~202806","신규","-","","","단독다가구"
"7","경기도 성남시 수정구 복정동","6**","12m미만","42.98","월세","202605","07","5,000","55","2002","복정로84번길","202606~202806","갱신","-","5,000","55","단독다가구"
"8","경기도 성남시 수정구 태평동","5***","8m미만","23.10","월세","202605","07","500","50","1985","제일로187번길","202605~202805","갱신","-","500","50","단독다가구"
"9","경기도 성남시 수정구 복정동","7**","12m미만","79.43","월세","202605","07","30,000","35","2005","복정로32번길","202607~202807","신규","-","","","단독다가구"
"10","경기도 성남시 수정구 태평동","2***","8m미만","44.04","전세","202605","07","7,000","0","1988","남문로89번길","202606~202806","신규","-","","","단독다가구"
"11","경기도 성남시 수정구 태평동","5***","8m미만","35.21","전세","202605","07","6,500","0","1997","탄리로145번길","202605~202805","갱신","-","4,500","0","단독다가구"
"12","경기도 성남시 수정구 복정동","6**","12m미만","50.00","월세","202605","06","4,000","65","2003","복정로106번길","202605~202805","신규","-","","","단독다가구"
"13","경기도 성남시 수정구 복정동","7**","12m미만","80.00","월세","202605","06","30,000","25","2002","복정로","202607~202807","신규","-","","","단독다가구"
"14","경기도 성남시 수정구 태평동","3***","8m미만","45.00","월세","202605","06","1,000","55","1991","수정로111번길","202606~202806","신규","-","","","단독다가구"
"15","경기도 성남시 수정구 태평동","5***","8m미만","42.06","전세","202605","06","13,000","0","1988","남문로21번길","202606~202806","신규","-","","","단독다가구"
"16","경기도 성남시 수정구 신흥동","4***","8m미만","104.40","전세","202605","06","15,000","0","1991","시민로145번길","202605~202705","신규","-","","","단독다가구"
"17","경기도 성남시 수정구 신흥동","6***","8m미만","167.92","전세","202605","06","25,000","0","1995","수정로154번길","202607~202807","신규","-","","","단독다가구"
"18","경기도 성남시 수정구 수진동","6**","8m미만","38.16","전세","202605","06","20,000","0","1991","탄리로53번길","202605~202805","신규","-","","","단독다가구"
"19","경기도 성남시 수정구 수진동","3***","8m미만","42.49","월세","202605","06","1,000","43","1989","성남대로1194번길","202606~202806","신규","-","","","단독다가구"
"20","경기도 성남시 수정구 수진동","3***","8m미만","45.28","월세","202605","06","1,000","50","1989","수정남로16번길","202605~202805","갱신","사용","1,000","45","단독다가구"
"21","경기도 성남시 수정구 태평동","7***","8m미만","32.60","전세","202605","06","9,000","0","1994","모란로87번길","202605~202805","신규","-","","","단독다가구"
"22","경기도 성남시 수정구 태평동","2***","8m미만","60.54","전세","202605","05","18,000","0","1983","남문로133번길","202606~202806","갱신","-","18,000","0","단독다가구"
"23","경기도 성남시 수정구 태평동","3***","8m미만","60.00","월세","202605","05","1,000","65","1996","남문로102번길","202605~202805","신규","-","","","단독다가구"
