"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 중원구 상대원동","1***","8m미만","33.00","전세","202605","08","3,000","0","1989","박석로41번길","202605~202805","신규","-","","","단독다가구"
"2","경기도 성남시 중원구 은행동","1***","25m미만","15.60","월세","202605","07","1,000","45","1997","은이로","202606~202806","신규","-","","","단독다가구"
"3","경기도 성남시 중원구 성남동","3***","8m미만","60.00","전세","202605","07","16,000","0","1999","원터로75번길","202605~202805","갱신","-","15,000","0","단독다가구"
"4","경기도 성남시 중원구 상대원동","1***","12m미만","25.00","월세","202605","07","500","40","1990","둔촌대로413번길","202606~202806","신규","-","","","단독다가구"
"5","경기도 성남시 중원구 하대원동","2**","8m미만","49.07","월세","202605","06","13,000","10","1984","둔촌대로349번길","202606~202806","신규","-","","","단독다가구"
"6","경기도 성남시 중원구 하대원동","3**","8m미만","43.00","월세","202605","06","1,000","40","1989","마지로134번길","202606~202806","신규","-","","","단독다가구"
"7","경기도 성남시 중원구 하대원동","1**","25m미만","35.00","월세","202605","06","1,000","70","2001","마지로","202605~202805","신규","-","","","단독다가구"
"8","경기도 성남시 중원구 상대원동","2***","8m미만","30.84","전세","202605","06","10,000","0","1981","박석로49번길","202606~202806","신규","-","","","단독다가구"
"9","경기도 성남시 중원구 금광동","3***","12m미만","30.00","월세","202605","06","1,000","40","1988","금빛로61번길","202605~202805","신규","-","","","단독다가구"
"10","경기도 성남시 중원구 여수동","4**","25m미만","99.78","전세","202605","05","46,000","0","2012","여수울로29번길","202605~202707","갱신","-","44,000","0","단독다가구"
"11","경기도 성남시 중원구 성남동","4***","8m미만","25.00","전세","202605","05","9,000","0","1987","둔촌대로151번길","202605~202705","갱신","-","9,000","0","단독다가구"
"12","경기도 성남시 중원구 성남동","3***","8m미만","28.70","월세","202605","04","2,000","45","2001","제일로53번길","202606~202806","신규","-","","","단독다가구"
"13","경기도 성남시 중원구 중앙동","2***","8m미만","23.14","월세","202605","04","500","30","1988","광명로242번길","202605~202805","신규","-","","","단독다가구"
"14","경기도 성남시 중원구 성남동","3***","8m미만","28.70","월세","202605","04","2,000","45","2001","제일로53번길","202606~202806","신규","-","","","단독다가구"
"15","경기도 성남시 중원구 성남동","3***","12m미만","16.00","월세","202605","04","1,000","30","1987","광명로94번길","202605~202705","신규","-","","","단독다가구"
"16","경기도 성남시 중원구 성남동","3***","12m미만","23.00","월세","202605","04","2,500","43","2001","제일로73번길","202605~202805","갱신","-","2,500","40","단독다가구"
"17","경기도 성남시 중원구 하대원동","3**","8m미만","42.00","전세","202605","04","12,000","0","1990","마지로134번길","202605~202805","갱신","-","10,000","0","단독다가구"
"18","경기도 성남시 중원구 상대원동","2***","8m미만","32.42","전세","202605","04","8,400","0","1983","희망로344번길","202606~202806","신규","-","","","단독다가구"
"19","경기도 성남시 중원구 상대원동","1***","8m미만","59.97","전세","202605","04","20,000","0","","박석로33번길","202606~202806","신규","-","","","단독다가구"
"20","경기도 성남시 중원구 상대원동","2***","8m미만","56.00","전세","202605","04","20,000","0","1994","박석로97번길","202607~202807","신규","-","","","단독다가구"
"21","경기도 성남시 중원구 상대원동","2***","8m미만","39.90","월세","202605","02","500","50","1985","박석로49번길","202605~202805","신규","-","","","단독다가구"
"22","경기도 성남시 중원구 은행동","5**","8m미만","59.09","전세","202605","02","19,000","0","1988","산성대로596번길","202605~202805","갱신","-","19,000","0","단독다가구"
"23","경기도 성남시 중원구 성남동","3***","8m미만","40.00","월세","202605","02","2,000","60","2007","성남대로1140번길","202606~202806","신규","-","","","단독다가구"
"24","경기도 성남시 중원구 성남동","3***","8m미만","69.58","전세","202605","02","25,000","0","1994","제일로33번길","202607~202807","신규","-","","","단독다가구"
"25","경기도 성남시 중원구 성남동","2***","8m미만","20.00","월세","202605","01","300","40","1987","원터로105번길","202605~202805","신규","-","","","단독다가구"
"26","경기도 성남시 중원구 상대원동","9**","8m미만","19.80","월세","202605","01","500","30","1987","박석로52번길","202605~202805","신규","-","","","단독다가구"
"27","경기도 성남시 중원구 성남동","2***","8m미만","56.49","전세","202605","01","20,000","0","2001","광명로142번길","202607~202807","신규","-","","","단독다가구"
"28","경기도 성남시 중원구 은행동","6**","25m이상","20.00","월세","202605","01","500","35","1994","산성대로576번길","202605~202805","신규","-","","","단독다가구"
"29","경기도 성남시 중원구 상대원동","2***","8m미만","39.00","전세","202604","30","9,000","0","1989","박석로93번길","-","-","-","","","단독다가구"
"30","경기도 성남시 중원구 금광동","6**","8m미만","33.00","월세","202604","30","1,000","50","1992","금상로87번길","202605~202805","신규","-","","","단독다가구"
"31","경기도 성남시 중원구 도촌동","5**","12m미만","95.34","전세","202604","30","30,000","0","2008","도촌로7번길","202605~202805","갱신","-","28,000","0","단독다가구"
"32","경기도 성남시 중원구 상대원동","6**","25m미만","25.60","월세","202604","30","1,000","35","2005","금상로100번길","202604~202804","신규","-","","","단독다가구"
"33","경기도 성남시 중원구 성남동","3***","8m미만","28.70","월세","202604","29","1,000","50","2001","제일로53번길","202605~202805","신규","-","","","단독다가구"
"34","경기도 성남시 중원구 하대원동","1**","8m미만","58.47","전세","202604","29","15,000","0","1990","마지로155번길","202604~202804","갱신","-","13,000","0","단독다가구"
"35","경기도 성남시 중원구 하대원동","1**","8m미만","45.00","월세","202604","29","500","30","1989","시민로9번길","202604~202804","신규","-","","","단독다가구"
"36","경기도 성남시 중원구 상대원동","2***","8m미만","33.00","월세","202604","29","7,000","10","1998","박석로75번길","202606~202806","신규","-","","","단독다가구"
"37","경기도 성남시 중원구 성남동","4***","12m미만","25.00","전세","202604","28","8,000","0","1996","산성대로80번길","202604~202804","신규","-","","","단독다가구"
"38","경기도 성남시 중원구 상대원동","1***","8m미만","39.78","전세","202604","28","13,000","0","1984","박석로59번길","202605~202805","신규","-","","","단독다가구"
"39","경기도 성남시 중원구 상대원동","2***","8m미만","40.60","전세","202604","28","12,000","0","1988","박석로73번길","202605~202805","신규","-","","","단독다가구"
"40","경기도 성남시 중원구 상대원동","1***","12m미만","22.00","전세","202604","28","5,000","0","1983","둔촌대로389번길","-","-","-","","","단독다가구"
"41","경기도 성남시 중원구 금광동","4***","12m미만","49.14","전세","202604","28","14,500","0","1986","산성대로414번길","202604~202804","갱신","-","7,500","0","단독다가구"
"42","경기도 성남시 중원구 성남동","3***","8m미만","82.00","전세","202604","28","26,000","0","1997","둔촌대로101번길","202607~202807","신규","-","","","단독다가구"
"43","경기도 성남시 중원구 금광동","3***","12m미만","30.00","전세","202604","27","6,300","0","","산성대로382번길","202604~202804","갱신","사용","6,000","0","단독다가구"
"44","경기도 성남시 중원구 여수동","5**","25m미만","50.00","전세","202604","27","24,000","0","2013","여수울로29번길","202606~202805","신규","-","","","단독다가구"
"45","경기도 성남시 중원구 여수동","5**","12m미만","25.00","월세","202604","27","1,000","60","2014","여수울로29번길","202605~202805","신규","-","","","단독다가구"
"46","경기도 성남시 중원구 성남동","4***","8m미만","35.00","월세","202604","27","1,000","35","1993","둔촌대로113번길","202604~202804","신규","-","","","단독다가구"
"47","경기도 성남시 중원구 중앙동","4**","8m미만","41.46","월세","202604","27","10,000","10","1991","광명로","202607~202807","신규","-","","","단독다가구"
"48","경기도 성남시 중원구 금광동","3***","8m미만","42.90","월세","202604","27","500","35","1988","광명로335번길","202604~202804","갱신","-","480","35","단독다가구"
"49","경기도 성남시 중원구 상대원동","7**","8m미만","24.00","월세","202604","25","300","30","1986","금상로102번길","202604~202804","신규","-","","","단독다가구"
"50","경기도 성남시 중원구 상대원동","1***","12m미만","30.00","월세","202604","25","1,000","30","1988","박석로41번길","202604~202804","신규","-","","","단독다가구"
"51","경기도 성남시 중원구 은행동","6**","8m미만","52.70","월세","202604","25","5,000","70","1988","순환로457번길","202605~202805","신규","-","","","단독다가구"
"52","경기도 성남시 중원구 성남동","3***","12m미만","23.10","월세","202604","25","1,000","60","1993","광명로42번길","202605~202805","신규","-","","","단독다가구"
"53","경기도 성남시 중원구 성남동","3***","8m미만","23.10","월세","202604","25","1,000","52","1986","둔촌대로101번길","202604~202804","신규","-","","","단독다가구"
"54","경기도 성남시 중원구 하대원동","1**","12m미만","96.00","전세","202604","24","6,500","0","1988","둔촌대로268번길","202604~202804","갱신","-","6,500","0","단독다가구"
"55","경기도 성남시 중원구 성남동","2***","8m미만","18.00","월세","202604","24","300","32","1987","원터로105번길","202604~202804","갱신","-","200","32","단독다가구"
"56","경기도 성남시 중원구 중앙동","1***","8m미만","93.10","월세","202604","24","500","40","1980","광명로256번길","202604~202804","신규","-","","","단독다가구"
"57","경기도 성남시 중원구 상대원동","1***","8m미만","45.24","전세","202604","24","12,000","0","1984","박석로52번길","202605~202805","신규","-","","","단독다가구"
"58","경기도 성남시 중원구 상대원동","1***","8m미만","41.37","전세","202604","24","8,500","0","1989","희망로326번길","202604~202804","갱신","사용","8,500","0","단독다가구"
"59","경기도 성남시 중원구 하대원동","1**","8m미만","50.00","전세","202604","24","18,000","0","1994","둔촌대로","202606~202806","신규","-","","","단독다가구"
"60","경기도 성남시 중원구 금광동","4***","8m미만","39.00","월세","202604","24","1,000","40","1988","산성대로460번길","202605~202805","신규","-","","","단독다가구"
"61","경기도 성남시 중원구 상대원동","2***","8m미만","36.89","전세","202604","24","10,000","0","1989","희망로344번길","202605~202805","신규","-","","","단독다가구"
"62","경기도 성남시 중원구 상대원동","9**","8m미만","52.00","전세","202604","24","10,000","0","1995","박석로72번길","202605~202805","신규","-","","","단독다가구"
"63","경기도 성남시 중원구 금광동","4***","12m미만","49.14","전세","202604","23","14,000","0","1986","산성대로414번길","202604~202804","갱신","-","7,000","0","단독다가구"
"64","경기도 성남시 중원구 하대원동","1**","8m미만","77.71","월세","202604","23","38,000","50","2018","둔촌대로","202606~202806","갱신","사용","40,000","0","단독다가구"
"65","경기도 성남시 중원구 상대원동","1***","8m미만","37.17","전세","202604","23","13,000","0","1985","박석로71번길","202605~202805","신규","-","","","단독다가구"
"66","경기도 성남시 중원구 상대원동","1***","12m미만","18.00","월세","202604","23","500","30","1976","박석로25번길","202604~202804","신규","-","","","단독다가구"
"67","경기도 성남시 중원구 상대원동","8**","8m미만","40.00","월세","202604","23","2,000","60","1993","금상로92번길","202604~202804","신규","-","","","단독다가구"
"68","경기도 성남시 중원구 하대원동","1**","8m미만","33.05","월세","202604","23","500","30","1988","둔촌대로263번길","202605~202805","신규","-","","","단독다가구"
"69","경기도 성남시 중원구 중앙동","2***","8m미만","119.10","월세","202604","22","300","25","1991","광명로","202604~202804","신규","-","","","단독다가구"
"70","경기도 성남시 중원구 성남동","2***","8m미만","30.00","월세","202604","22","300","40","1991","원터로93번길","202604~202804","갱신","-","300","35","단독다가구"
"71","경기도 성남시 중원구 성남동","3***","12m미만","62.00","월세","202604","22","6,000","60","2000","원터로75번길","202604~202804","갱신","-","5,000","60","단독다가구"
"72","경기도 성남시 중원구 하대원동","1**","8m미만","49.05","전세","202604","22","16,500","0","1986","마지로163번길","202605~202805","갱신","-","16,000","0","단독다가구"
"73","경기도 성남시 중원구 하대원동","1**","12m미만","103.74","전세","202604","22","3,400","0","","둔촌대로280번길","202604~202804","갱신","-","3,200","0","단독다가구"
"74","경기도 성남시 중원구 금광동","3***","12m미만","27.00","월세","202604","22","1,000","40","1990","자혜로16번길","202606~202806","신규","-","","","단독다가구"
"75","경기도 성남시 중원구 금광동","3***","8m미만","33.00","월세","202604","22","500","40","1988","광명로361번길","202606~202806","신규","-","","","단독다가구"
"76","경기도 성남시 중원구 상대원동","1***","8m미만","26.73","월세","202604","22","1,000","40","1983","박석로52번길","202605~202805","신규","-","","","단독다가구"
"77","경기도 성남시 중원구 성남동","3***","8m미만","17.00","월세","202604","22","1,000","45","2001","둔촌대로151번길","202604~202804","신규","-","","","단독다가구"
"78","경기도 성남시 중원구 성남동","3***","12m미만","86.72","월세","202604","21","1,000","90","1994","광명로42번길","202605~202805","갱신","-","1,000","70","단독다가구"
"79","경기도 성남시 중원구 중앙동","2***","8m미만","45.00","전세","202604","21","20,000","0","1989","광명로256번길","202607~202807","신규","-","","","단독다가구"
"80","경기도 성남시 중원구 상대원동","1***","8m미만","46.00","월세","202604","21","2,000","50","1984","박석로5번길","202606~202806","신규","-","","","단독다가구"
"81","경기도 성남시 중원구 성남동","3***","8m미만","39.60","전세","202604","21","13,650","0","2003","둔촌대로113번길","202605~202805","갱신","-","13,000","0","단독다가구"
"82","경기도 성남시 중원구 중앙동","1***","8m미만","48.65","전세","202604","20","9,800","0","1992","광명로256번길","202605~202805","신규","-","","","단독다가구"
"83","경기도 성남시 중원구 상대원동","2***","8m미만","45.85","월세","202604","20","1,000","45","1992","박석로71번길","202605~202805","신규","-","","","단독다가구"
"84","경기도 성남시 중원구 상대원동","2***","8m미만","72.80","전세","202604","20","15,000","0","1998","박석로75번길","202604~202804","갱신","-","13,000","0","단독다가구"
"85","경기도 성남시 중원구 도촌동","5**","12m미만","96.35","전세","202604","20","28,000","0","2008","도촌로7번길","202604~202804","갱신","-","25,000","0","단독다가구"
