"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 분당구 구미동","88","0088","0000","까치마을(2단지)(주공)","49.3600","202605","05","78,000","-","7","개인","개인","1995","미금일로 22","-","직거래","-","-"
"2","경기도 성남시 분당구 분당동","34","0034","0000","샛별마을(라이프)","58.1700","202605","01","130,000","-","4","개인","개인","1992","분당로 190","-","중개거래","경기 성남시 분당구","-"
"3","경기도 성남시 분당구 정자동","112","0112","0000","한솔마을(5단지)(주공)","51.6600","202604","30","142,350","-","12","법인","개인","1994","정자로 115","-","직거래","-","-"
"4","경기도 성남시 분당구 수내동","34","0034","0000","양지마을(금호1)","133.8200","202604","30","240,500","-","10","개인","개인","1992","수내로 74","-","직거래","-","-"
"5","경기도 성남시 분당구 수내동","34","0034","0000","양지마을(금호1)","164.2500","202604","29","303,000","-","19","개인","개인","1993","수내로 74","-","중개거래","경기 성남시 분당구","-"
"6","경기도 성남시 분당구 서현동","92","0092","0000","시범현대","164.0400","202604","28","253,000","-","13","개인","개인","1991","중앙공원로 20","-","중개거래","경기 성남시 분당구","-"
"7","경기도 성남시 분당구 판교동","635","0635","0000","판교원마을6단지(판교대광로제비앙)","83.3300","202604","28","166,000","606","10","개인","개인","2009","판교원로 209","-","중개거래","경기 성남시 분당구","26.04.30"
"8","경기도 성남시 분당구 정자동","112","0112","0000","한솔마을(5단지)(주공)","42.7500","202604","28","105,000","-","8","개인","개인","1994","정자로 115","-","중개거래","경기 성남시 분당구","-"
"9","경기도 성남시 분당구 분당동","38","0038","0000","샛별마을(우방)","133.8600","202604","28","193,000","313","7","개인","개인","1994","수내로 181","-","중개거래","경기 성남시 분당구","26.05.06"
"10","경기도 성남시 분당구 정자동","112","0112","0000","한솔마을(5단지)(주공)","41.8500","202604","27","117,000","-","4","개인","개인","1994","정자로 115","-","중개거래","경기 성남시 분당구","-"
"11","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","37.6700","202604","27","94,000","-","15","개인","개인","1995","내정로 54","-","중개거래","경기 성남시 분당구","-"
"12","경기도 성남시 분당구 운중동","956","0956","0000","산운마을8단지(부영사랑으로)","59.6120","202604","27","150,000","-","11","개인","개인","2008","산운로 98","-","중개거래","경기 성남시 분당구","-"
"13","경기도 성남시 분당구 야탑동","201","0201","0000","매화마을공무원1","58.9200","202604","27","102,900","-","12","개인","개인","1995","매화로 92","-","중개거래","경기 성남시 분당구","-"
"14","경기도 성남시 분당구 야탑동","334","0334","0000","장미마을(현대)","133.4480","202604","27","169,000","-","4","개인","개인","1993","장미로 101","-","중개거래","경기 성남시 분당구","-"
"15","경기도 성남시 분당구 수내동","24","0024","0000","양지마을(5단지)(한양501-514)","35.1000","202604","27","116,000","-","3","개인","개인","1993","내정로165번길 35","-","중개거래","경기 성남시 분당구, 서울 송파구","-"
"16","경기도 성남시 분당구 대장동","592","0592","0000","판교퍼스트힐푸르지오1단지","84.9900","202604","27","125,000","-","19","개인","개인","2021","판교대장로7길 69","-","중개거래","경기 성남시 분당구","-"
"17","경기도 성남시 분당구 판교동","635","0635","0000","판교원마을6단지(판교대광로제비앙)","59.6670","202604","27","140,000","-","14","개인","개인","2009","판교원로 209","-","중개거래","경기 성남시 분당구, 서울 강남구","-"
"18","경기도 성남시 분당구 삼평동","741","0741","0000","판교푸르지오월드마크","134.3300","202604","27","239,000","-","9","개인","개인","2013","대왕판교로606번길 58","-","직거래","-","-"
"19","경기도 성남시 분당구 구미동","88","0088","0000","까치마을(2단지)(주공)","58.1400","202604","27","139,500","-","8","개인","개인","1995","미금일로 22","-","중개거래","경기 성남시 분당구","-"
"20","경기도 성남시 분당구 이매동","99","0099","0000","이매촌(삼환)","132.3700","202604","27","134,100","1104","25","개인","개인","1995","양현로 220","-","직거래","-","26.05.04"
"21","경기도 성남시 분당구 서현동","92","0092","0000","시범현대","84.5700","202604","27","193,000","-","6","개인","개인","1992","중앙공원로 20","-","중개거래","경기 성남시 분당구","-"
"22","경기도 성남시 분당구 구미동","110","0110","0000","하얀마을(5단지)(주공)","35.2800","202604","26","83,000","-","3","개인","개인","1995","미금일로 21","-","중개거래","경기 성남시 분당구","-"
"23","경기도 성남시 분당구 정자동","112","0112","0000","한솔마을(5단지)(주공)","42.7500","202604","25","114,000","-","15","개인","개인","1994","정자로 115","-","중개거래","경기 성남시 분당구","-"
"24","경기도 성남시 분당구 운중동","918","0918","0000","산운마을13단지(태영)","84.9200","202604","25","164,000","-","27","개인","개인","2010","판교원로82번길 30","-","중개거래","경기 성남시 분당구","-"
"25","경기도 성남시 분당구 백현동","608","0608","0000","THESHARP판교퍼스트파크","129.9777","202604","24","185,000","103동","20","개인","개인","2021","판교백현로 38","-","직거래","-","26.04.24"
"26","경기도 성남시 분당구 정자동","215","0215","0000","더샵분당파크리버","59.9474","202604","24","153,000","-","8","개인","개인","2021","돌마로 171","-","중개거래","경기 성남시 분당구","-"
"27","경기도 성남시 분당구 정자동","102","0102","0000","한솔마을(4단지)(주공)","41.8500","202604","24","63,000","-","8","개인","개인","1994","백현로 206","-","직거래","-","-"
"28","경기도 성남시 분당구 금곡동","133","0133","0000","청솔마을(주공9단지)","36.5400","202604","24","90,000","-","1","개인","개인","1995","미금로 216","-","중개거래","경기 성남시 분당구","-"
"29","경기도 성남시 분당구 운중동","916","0916","0000","산운마을14단지(경남아너스빌)","101.2500","202604","23","88,100","1401","3","개인","개인","2009","판교원로82번길 60","-","직거래","-","26.04.30"
"30","경기도 성남시 분당구 삼평동","718","0718","0000","봇들마을4단지(주공)","74.4500","202604","23","203,000","-","14","개인","개인","2009","동판교로 226","-","중개거래","경기 성남시 분당구","-"
"31","경기도 성남시 분당구 야탑동","190","0190","0000","동원로얄듀크","96.5900","202604","23","110,000","-","11","개인","개인","2003","돌마로 908","-","중개거래","경기 성남시 분당구","-"
"32","경기도 성남시 분당구 야탑동","517","0517","0000","탑마을(벽산)","84.9100","202604","23","150,000","-","8","개인","개인","1994","야탑로 124","-","중개거래","경기 성남시 분당구","-"
"33","경기도 성남시 분당구 수내동","52","0052","0000","파크타운(서안)","84.6000","202604","23","204,000","-","8","개인","개인","1993","수내로 148","-","중개거래","경기 성남시 분당구","-"
"34","경기도 성남시 분당구 수내동","51","0051","0000","파크타운(대림)","59.3200","202604","23","136,500","-","15","개인","개인","1993","내정로166번길 7-6","-","중개거래","경기 성남시 분당구","-"
"35","경기도 성남시 분당구 수내동","73","0073","0000","푸른마을(신성)","59.7800","202604","23","143,000","-","3","개인","개인","1992","수내로 206","-","중개거래","경기 성남시 분당구","-"
"36","경기도 성남시 분당구 금곡동","177","0177","0000","청솔마을(서광)","53.6000","202604","23","145,900","-","15","개인","개인","1995","성남대로171번길 8","-","중개거래","경기 성남시 분당구","-"
"37","경기도 성남시 분당구 이매동","121","0121","0000","이매촌(동부코오롱)","101.4100","202604","23","195,000","-","10","개인","개인","1993","양현로 88","-","중개거래","경기 성남시 분당구","-"
"38","경기도 성남시 분당구 서현동","91","0091","0000","시범한양","35.1000","202604","23","105,000","-","10","개인","개인","1991","중앙공원로 17","-","중개거래","경기 성남시 분당구","-"
"39","경기도 성남시 분당구 정자동","117","0117","0000","한솔마을(6단지)(주공)","58.7100","202604","23","155,500","-","7","개인","개인","1995","내정로 54","-","중개거래","경기 성남시 분당구","-"
"40","경기도 성남시 분당구 대장동","623","623","0000","판교풍경채어바니티(7단지)","84.9418","202604","23","124,000","705동","5","개인","개인","2021","판교대장로 77","-","중개거래","경기 성남시 분당구","26.04.23"
"41","경기도 성남시 분당구 야탑동","391","0391","0000","현대I-PARK","146.8267","202604","22","139,100","-","2","개인","개인","2003","야탑로 125","-","직거래","-","-"
"42","경기도 성남시 분당구 수내동","32","0032","0000","양지마을(6단지)(금호,청구)","55.4400","202604","22","135,000","-","8","개인","개인","1992","내정로165번길 38","-","중개거래","경기 성남시 분당구","-"
"43","경기도 성남시 분당구 구미동","88","0088","0000","까치마을(2단지)(주공)","59.9800","202604","22","147,500","-","8","개인","개인","1996","미금일로 22","-","중개거래","경기 성남시 분당구","-"
