"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202605","06","124,100","-","8","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"2","경기도 성남시 수정구 태평동","7306","7306","0000","선경태평","46.0100","202605","06","36,959","-","5","기타","개인","1991","시민로 214","-","직거래","-","-"
"3","경기도 성남시 수정구 창곡동","515","0515","0000","위례호반써밋에비뉴","98.9500","202605","04","115,000","-","15","개인","개인","2016","위례중앙로 216","-","직거래","-","-"
"4","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9826","202605","04","126,600","-","2","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"5","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9387","202605","04","132,400","-","12","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"6","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202605","02","123,800","-","5","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"7","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9959","202605","02","123,800","-","9","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"8","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.8324","202604","30","120,000","-","3","개인","법인","2020","고등공원로 19","-","직거래","-","-"
"9","경기도 성남시 수정구 단대동","6986","6986","0000","코오롱하늘채","59.6784","202604","30","92,500","-","3","개인","개인","2013","단대로15번길 2","-","중개거래","경기 성남시 수정구","-"
"10","경기도 성남시 수정구 신흥동","6961","6961","0000","산성역자이푸르지오1단지","84.9800","202604","29","138,000","-","28","개인","법인","2024","수정로 260","-","중개거래","경기 성남시 수정구","-"
"11","경기도 성남시 수정구 고등동","590","0590","0000","판교밸리제일풍경채","84.9910","202604","29","120,400","-","3","개인","법인","2020","고등공원로 19","-","직거래","-","-"
