"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 중원구 금광동","3950","3950","0000","삼익금광1차","34.0500","202605","08","30,400","-","4","개인","개인","1991","자혜로16번길 9","-","중개거래","경기 성남시 중원구","-"
"2","경기도 성남시 중원구 하대원동","249","0249","0000","아튼빌","59.9100","202605","07","66,000","-","1","개인","개인","2003","둔촌대로 300","-","중개거래","경기 성남시 중원구","-"
"3","경기도 성남시 중원구 은행동","550","0550","0000","은행주공","75.2400","202605","06","80,653","-","8","법인","개인","1987","산성대로552번길 15","-","직거래","-","-"
"4","경기도 성남시 중원구 하대원동","539","0539","0000","성남자이","84.9900","202605","05","86,000","-","13","개인","개인","2007","둔촌대로 363","-","중개거래","경기 성남시 중원구","-"
"5","경기도 성남시 중원구 금광동","1008","1008","0000","e편한세상금빛그랑메종3단지","59.9500","202605","04","103,000","-","5","개인","개인","2023","금광로 40","-","중개거래","경기 성남시 중원구","-"
"6","경기도 성남시 중원구 하대원동","155-2","0155","0002","대원","44.4400","202605","04","28,000","-","2","개인","개인","1986","둔촌대로280번길 12","-","중개거래","경기 성남시 중원구","-"
"7","경기도 성남시 중원구 금광동","1001","1001","0000","e편한세상금빛그랑메종1단지","59.9800","202605","02","115,000","-","26","개인","개인","2023","금광로 11","-","중개거래","경기 수원시 영통구","-"
"8","경기도 성남시 중원구 여수동","600","0600","0000","센트럴타운(3단지)","84.9900","202605","02","130,000","-","7","개인","개인","2012","성남대로 1000","-","중개거래","경기 성남시 중원구","-"
"9","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","51.9300","202605","02","92,000","-","5","개인","개인","2015","여수울로 51","-","중개거래","경기 성남시 중원구","-"
"10","경기도 성남시 중원구 은행동","550","0550","0000","은행주공2","39.7200","202604","30","57,500","-","4","개인","개인","1987","산성대로552번길 15","-","중개거래","경기 성남시 중원구","-"
"11","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","29","44,500","-","1","개인","개인","1994","금상로 134","-","중개거래","경기 성남시 중원구","-"
"12","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","84.6300","202604","29","84,300","-","4","개인","개인","1995","자혜로17번길 16","-","중개거래","경기 성남시 중원구, 서울 송파구","-"
"13","경기도 성남시 중원구 금광동","2500","2500","0000","래미안금광","83.1700","202604","28","80,000","-","16","개인","개인","2006","황송로 77","-","중개거래","경기 성남시 중원구","-"
"14","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","49.9800","202604","28","30,900","-","14","개인","개인","1994","금상로 134","-","직거래","-","-"
"15","경기도 성남시 중원구 여수동","601","0601","0000","연꽃마을(4단지)","120.9700","202604","28","122,000","-","9","개인","개인","2012","여수울로 50","-","직거래","-","-"
"16","경기도 성남시 중원구 중앙동","578","0578","0000","중앙동힐스테이트1차","84.9800","202604","28","105,000","-","13","개인","개인","2012","시민로66번길 21","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구","-"
"17","경기도 성남시 중원구 여수동","600","0600","0000","센트럴타운(3단지)","84.8600","202604","27","137,000","-","3","개인","개인","2012","성남대로 1000","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구","-"
"18","경기도 성남시 중원구 성남동","3126","3126","0000","금호어울림","84.9600","202604","27","96,500","-","2","개인","개인","2006","둔촌대로171번길 6","-","중개거래","경기 성남시 중원구","-"
