"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 분당구 정자동","180","0180","0000","미켈란쉐르빌","전세","155.1000","202605","08","130,000","0","12","2003","정자일로 100","202606~202806","갱신","-","125,000","0","아파트"
"2","경기도 성남시 분당구 서현동","87","0087","0000","시범한신","전세","84.6900","202605","08","84,000","0","2","1992","중앙공원로 53","202608~202808","신규","-","","","아파트"
"3","경기도 성남시 분당구 수내동","55","0055","0000","파크타운(롯데)","전세","101.8350","202605","08","100,000","0","3","1993","내정로 152","202608~202808","신규","-","","","아파트"
"4","경기도 성남시 분당구 판교동","585","0585","0000","판교원마을9단지(한림풀에버)","전세","71.8438","202605","08","65,000","0","3","2009","서판교로 29","202605~202711","갱신","-","63,000","0","아파트"
"5","경기도 성남시 분당구 구미동","221","0221","0000","무지개(5단지)(청구)","전세","58.4900","202605","08","35,877","0","13","1995","무지개로 144","202605~202805","갱신","사용","34,177","0","아파트"
"6","경기도 성남시 분당구 대장동","641","641","0000","판교더샵포레스트12단지","전세","84.9950","202605","08","54,500","0","2","2021","판교대장로5길 30","202605~202805","신규","-","","","아파트"
"7","경기도 성남시 분당구 구미동","211","0211","0000","무지개(1단지)(대림)","전세","127.1700","202605","08","58,800","0","23","1996","미금로 23","202605~202805","갱신","사용","56,000","0","아파트"
"8","경기도 성남시 분당구 운중동","922","0922","0000","산운마을11단지(판교포레라움)","전세","51.1300","202605","07","58,000","0","5","2009","판교원로 68","202606~202806","신규","-","","","아파트"
"9","경기도 성남시 분당구 백현동","546","0546","0000","백현마을3단지(주공)임대","월세","46.8100","202605","07","7,844","15","7","2011","동판교로 92","202607~202806","갱신","-","4,531","31","아파트"
"10","경기도 성남시 분당구 운중동","956","0956","0000","산운마을8단지(부영사랑으로)","전세","81.0190","202605","07","68,000","0","8","2008","산운로 98","202606~202806","갱신","-","65,000","0","아파트"
