"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 수정구 창곡동","504","0504","0000","위례센트럴자이","월세","51.8900","202605","08","42,600","50","2","2017","위례광장로 97","202606~202806","갱신","-","40,000","50","아파트"
"2","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.7860","202605","08","54,363","0","9","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"3","경기도 성남시 수정구 고등동","578","0578","0000","고등마을","월세","36.3700","202605","07","9,120","38","6","2019","고등로 57","202605~202807","신규","-","","","아파트"
"4","경기도 성남시 수정구 신흥동","6963","6963","0000","산성역자이푸르지오2단지","전세","74.9200","202605","07","60,000","0","23","2024","수정로 288","202606~202807","갱신","-","40,000","0","아파트"
"5","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","134.3415","202605","07","74,750","0","9","2019","헌릉로 1005","202605~202705","갱신","-","73,573","0","아파트"
"6","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.4942","202605","07","48,699","24","6","2019","헌릉로 1005","202605~202705","갱신","-","47,933","23","아파트"
"7","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.9695","202605","07","54,363","0","14","2019","헌릉로 1005","202605~202705","갱신","-","53,507","0","아파트"
"8","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","134.3577","202605","07","74,750","0","2","2019","헌릉로 1005","202607~202707","갱신","-","73,573","0","아파트"
"9","경기도 성남시 수정구 창곡동","521","0521","0000","위례더힐55","월세","85.7528","202605","07","20,000","250","2","2015","위례순환로 220","202606~202806","신규","-","","","아파트"
"10","경기도 성남시 수정구 신흥동","6963","6963","0000","산성역자이푸르지오2단지","월세","59.9700","202605","07","40,000","80","9","2024","수정로 288","202607~202807","신규","-","","","아파트"
"11","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.4942","202605","06","48,699","24","7","2019","헌릉로 1005","202606~202706","갱신","-","47,933","23","아파트"
"12","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.4942","202605","06","24,450","113","1","2019","헌릉로 1005","202605~202705","신규","-","","","아파트"
"13","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202605","06","54,363","0","3","2019","헌릉로 1005","202606~202706","갱신","-","53,507","0","아파트"
"14","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","월세","85.4942","202605","06","48,699","24","13","2019","헌릉로 1005","202606~202706","갱신","-","47,933","23","아파트"
"15","경기도 성남시 수정구 단대동","182","0182","0000","미도","월세","77.8200","202605","06","10,000","110","13","1982","분당수서로 472","202606~202806","신규","-","","","아파트"
"16","경기도 성남시 수정구 고등동","592","0592","0000","판교밸리호반써밋","전세","84.9872","202605","06","74,000","0","6","2019","고등로 34","202606~202706","갱신","-","65,000","0","아파트"
"17","경기도 성남시 수정구 창곡동","567","0567","0000","위례 래미안이편한세상","월세","84.9800","202605","06","40,000","190","4","2016","위례동로 61","202606~202707","신규","-","","","아파트"
"18","경기도 성남시 수정구 창곡동","597","0597","0000","위례포레스트부영","전세","85.4942","202605","06","54,363","0","3","2019","헌릉로 1005","202606~202706","갱신","-","53,507","0","아파트"
"19","경기도 성남시 수정구 창곡동","521","0521","0000","위례더힐55","월세","85.7614","202605","06","10,000","249","8","2015","위례순환로 220","202605~202805","갱신","사용","10,000","235","아파트"
"20","경기도 성남시 수정구 신흥동","6951","6951","0000","산성역포레스티아","전세","74.9800","202605","06","58,000","0","18","2020","수정로 319","202606~202806","갱신","사용","57,000","0","아파트"
