"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 중원구 금광동","1003","1003","0000","e편한세상금빛그랑메종2단지","전세","59.9500","202605","08","48,000","0","14","2023","금광로 26","202606~202806","갱신","-","36,500","0","아파트"
"2","경기도 성남시 중원구 은행동","1932-6","1932","0006","현대","월세","84.6300","202605","08","34,000","50","6","1995","자혜로17번길 16","202609~202809","신규","-","","","아파트"
"3","경기도 성남시 중원구 은행동","1740","1740","0000","은빛마을(두산위브)","전세","56.6448","202605","08","36,750","0","2","2003","은행로 13","202606~202806","갱신","사용","35,000","0","아파트"
"4","경기도 성남시 중원구 상대원동","152-3","0152","0003","상대원삼익","전세","34.0500","202605","07","17,000","0","11","1991","사기막골로31번길 34","202607~202807","신규","-","","","아파트"
"5","경기도 성남시 중원구 성남동","4700","4700","0000","성남여수LH1단지(임대)","월세","24.9800","202605","07","2,407","17","10","2017","둔촌대로63번길 11","202606~202805","갱신","-","2,704","21","아파트"
"6","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","전세","49.9800","202605","07","30,000","0","14","1994","금상로 134","202608~202808","신규","-","","","아파트"
"7","경기도 성남시 중원구 여수동","602","0602","0000","산들마을2단지","전세","51.9300","202605","07","33,300","0","9","2015","여수울로 51","202606~202806","신규","-","","","아파트"
"8","경기도 성남시 중원구 중앙동","3001","3001","0000","신흥역하늘채랜더스원1단지","전세","59.8800","202605","06","63,000","0","4","2022","광명로 176","202605~202805","신규","-","","","아파트"
"9","경기도 성남시 중원구 상대원동","279-1","0279","0001","선경2차","전세","49.9800","202605","06","24,000","0","5","1994","금상로 134","202607~203007","신규","-","","","아파트"
"10","경기도 성남시 중원구 금광동","1020","1020","0000","e편한세상금빛그랑메종5단지","월세","59.9500","202605","06","20,000","160","12","2023","금광로 72","202606~202806","신규","-","","","아파트"
"11","경기도 성남시 중원구 금광동","1016","1016","0000","e편한세상금빛그랑메종4단지","전세","59.9800","202605","06","52,500","0","29","2023","금광로 71","202607~202807","갱신","사용","50,000","0","아파트"
