"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 분당구 운중동","307","0307","0000","운중동푸르지오하임","84.7700","143.7988","202605","07","156,000","2","개인","개인","2012","하오개로 377","-","직거래","-","-"
"2","경기도 성남시 분당구 이매동","296","0296","0000","이매포스파크","84.9900","111.9200","202605","06","89,000","1","개인","개인","2003","이매로123번길 12","-","중개거래","경기 성남시 분당구","-"
"3","경기도 성남시 분당구 분당동","52","0052","0000","청구빌라2","199.5800","236.8300","202605","04","159,000","3","개인","개인","1995","예원로 23","-","중개거래","경기 성남시 분당구","26.05.06"
"4","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202604","30","95,500","3","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","-"
"5","경기도 성남시 분당구 야탑동","185","0185","0000","목련마을화성빌리지","71.7700","85.7510","202604","27","104,000","2","개인","개인","1994","야탑로271번길 28","-","중개거래","경기 성남시 분당구","26.05.06"
"6","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","57.9750","64.9290","202604","22","98,500","1","개인","개인","1994","야탑로271번길 7","-","중개거래","경기 성남시 분당구","-"
"7","경기도 성남시 분당구 궁내동","350-1","0350","0001","우성캐슬","53.8200","68.0550","202604","22","44,000","3","개인","개인","2018","궁내로 46-3","-","중개거래","경기 성남시 분당구","-"
"8","경기도 성남시 분당구 이매동","296","0296","0000","이매포스파크","84.9900","111.9100","202604","22","90,000","3","개인","개인","2003","이매로123번길 12","-","중개거래","경기 성남시 분당구","-"
"9","경기도 성남시 분당구 서현동","322","0322","0000","정도","53.8200","61.2000","202604","20","48,000","1","개인","개인","1995","불정로406번길 7","-","직거래","-","26.04.20"
"10","경기도 성남시 분당구 구미동","111","0111","0000","하얀그랜드(코오롱)","99.7500","121.6698","202604","18","138,000","3","개인","개인","1995","미금로 114","-","중개거래","경기 성남시 분당구","-"
"11","경기도 성남시 분당구 서현동","188-21","0188","0021","서현모닝빌105동","59.9700","68.0000","202604","17","27,100","4","개인","개인","2002","안골로 42","-","중개거래","서울 용산구","-"
"12","경기도 성남시 분당구 서현동","322","0322","0000","정도","53.8200","61.2000","202604","17","43,500","4","개인","개인","1995","불정로406번길 7","-","직거래","-","26.04.20"
"13","경기도 성남시 분당구 야탑동","267","0267","0000","매화마을대창빌라","84.9600","99.8380","202604","17","99,000","1","개인","개인","1995","벌말로30번길 11","-","직거래","-","-"
"14","경기도 성남시 분당구 야탑동","218","0218","0000","매화마을벽산","59.9400","68.3300","202604","15","94,000","3","개인","개인","1994","벌말로50번길 27","-","중개거래","경기 성남시 분당구","-"
"15","경기도 성남시 분당구 금곡동","70-1","0070","0001","중앙하이츠빌리지(304동)","192.1630","189.1200","202604","14","53,000","3","개인","개인","2001","쇳골북로32번길 6","-","직거래","-","-"
"16","경기도 성남시 분당구 운중동","357-1","0357","0001","판교파크하임에비뉴","52.2000","45.2400","202604","11","64,000","4","개인","개인","2018","하오개로357번길 17","-","중개거래","경기 성남시 분당구","-"
"17","경기도 성남시 분당구 야탑동","217","0217","0000","매화마을청구빌라","84.9900","98.7650","202604","10","125,500","1","개인","개인","1995","벌말로50번길 9","-","중개거래","경기 성남시 분당구","-"
