"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 수정구 오야동","288-9","0288","0009","(288-9)","139.0600","128.3300","202605","06","84,000","3","개인","개인","2007","오야남로 39","-","직거래","-","-"
"2","경기도 성남시 수정구 단대동","36-3","0036","0003","동성빌라","37.6500","9.7900","202605","03","18,000","2","개인","개인","1994","논골로53번길 18-3","-","중개거래","인천 연수구","-"
"3","경기도 성남시 수정구 신흥동","5118","5118","0000","(5118-0)","24.4800","19.9900","202605","01","59,000","3","개인","개인","2007","시민로163번길 11","-","중개거래","경기 성남시 수정구","-"
"4","경기도 성남시 수정구 태평동","5768","5768","0000","(5768-0)","46.2900","56.2000","202605","01","32,100","2","개인","개인","2007","남문로18번길 16","-","중개거래","경기 의왕시","-"
"5","경기도 성남시 수정구 단대동","36-4","0036","0004","태성로얄빌라","39.6500","9.7200","202604","27","18,000","1","개인","개인","1994","논골로53번길 18-1","-","직거래","-","26.04.27"
"6","경기도 성남시 수정구 태평동","7328-2","7328","0002","경원주택","46.3400","29.8000","202604","25","16,000","1","기타","개인","1988","수정로217번길 18-8","-","중개거래","경기 성남시 수정구","-"
"7","경기도 성남시 수정구 태평동","3261-5","3261","0005","영흥빌라","25.2000","15.2400","202604","23","8,500","1","개인","개인","1989","남문로86번길 18-2","-","직거래","-","26.04.24"
"8","경기도 성남시 수정구 양지동","334","0334","0000","산호빌라(나동)","41.1300","28.0000","202604","21","20,000","1","개인","개인","1988","양지로53번길 12-1","-","중개거래","경기 성남시 중원구","26.04.21"
"9","경기도 성남시 수정구 양지동","28","0028","0000","초아빌","68.0400","27.2550","202604","21","37,000","4","개인","개인","2009","산성대로595번길 5-1","-","중개거래","경기 성남시 중원구","-"
"10","경기도 성남시 수정구 양지동","388-1","0388","0001","은행빌리지(B동)","60.0000","26.1800","202604","20","24,500","1","개인","개인","2002","논골로36번길 32-2","-","중개거래","경기 성남시 수정구","-"
"11","경기도 성남시 수정구 신흥동","3419","3419","0000","수정빌라(2동)","43.5600","25.8800","202604","20","27,000","3","개인","개인","1990","공원로391번길 16-1","-","중개거래","경기 성남시 수정구","26.04.20"
"12","경기도 성남시 수정구 단대동","38-6","0038","0006","동영빌라","38.3000","9.8500","202604","20","18,500","3","개인","개인","1994","논골로53번길 26-4","-","중개거래","경기 성남시 수정구, 서울 송파구","26.04.24"
"13","경기도 성남시 수정구 태평동","7337-3","7337","0003","쉐라톤맨션","76.5600","28.1200","202604","18","36,000","2","개인","개인","2003","시민로186번길 11-1","-","중개거래","경기 성남시 수정구","-"
"14","경기도 성남시 수정구 단대동","11-1","0011","0001","태성하이츠","37.6100","9.9570","202604","17","21,900","3","개인","개인","1996","논골로69번길 1","-","중개거래","경기 성남시 중원구","26.04.20"
