"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","경기도 성남시 중원구 상대원동","1754-1","1754","0001","금강빌라","47.8800","28.6300","202605","08","36,000","3","개인","개인","1992","박석로41번길 42","-","중개거래","경기 성남시 중원구","-"
"2","경기도 성남시 중원구 은행동","2283-1","2283","0001","까치빌라(20차)","42.3400","10.9200","202605","07","19,000","3","개인","개인","1998","자혜로57번길 19-13","-","중개거래","경기 성남시 중원구, 서울 관악구","-"
"3","경기도 성남시 중원구 상대원동","1539","1539","0000","푸른맨션","43.7200","16.1000","202605","06","37,000","1","개인","개인","2001","박석로25번길 24-16","-","중개거래","경기 성남시 중원구","-"
"4","경기도 성남시 중원구 도촌동","705","0705","0000","동분당KCC스위첸파티오2단지","84.9800","167.1611","202605","06","85,500","1","개인","개인","2019","도촌남로 88","-","중개거래","경기 성남시 중원구","-"
"5","경기도 성남시 중원구 금광동","4558","4558","0000","골든클래스","57.7000","17.4400","202605","04","49,700","10","개인","개인","2019","산성대로414번길 3-10","-","중개거래","경기 성남시 중원구","-"
"6","경기도 성남시 중원구 은행동","1088","1088","0000","산돌빌라","41.6500","111.7000","202605","04","16,700","4","개인","개인","1996","은이로33번길 9","-","직거래","-","-"
"7","경기도 성남시 중원구 은행동","2002","2002","0000","상록파크빌라(2차)","42.8400","11.0100","202605","03","16,000","3","개인","개인","1993","은행로81번길 5","-","중개거래","서울 송파구","-"
"8","경기도 성남시 중원구 은행동","904","0904","0000","동양아트빌라","35.0700","11.3300","202605","02","11,800","-1","개인","개인","1992","은이로63번길 8-14","-","중개거래","경기 성남시 중원구","-"
"9","경기도 성남시 중원구 성남동","3089","3089","0000","아트빌라","58.6650","23.0000","202605","01","38,000","1","개인","개인","2002","광명로82번길 23","-","중개거래","경기 성남시 중원구","-"
"10","경기도 성남시 중원구 성남동","2496","2496","0000","유한빌리지B동","72.4500","27.3530","202605","01","35,000","4","개인","개인","2001","광명로110번길 4","-","중개거래","경기 성남시 중원구","-"
