"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 분당구 분당동","62-1","0062","0001","가람빌라","전세","175.2300","202605","08","90,000","0","1","2000","예원로6번길 61","202608~202808","신규","-","","","연립다세대"
"2","경기도 성남시 분당구 분당동","75","0075","0000","신안시네하우스(301동)","전세","147.4500","202605","07","83,000","0","3","1998","분당로 289","202606~202806","신규","-","","","연립다세대"
"3","경기도 성남시 분당구 야탑동","177","0177","0000","목련마을자영빌라","월세","57.9750","202605","04","3,000","120","4","1994","야탑로271번길 7","202605~202805","신규","-","","","연립다세대"
"4","경기도 성남시 분당구 이매동","296","0296","0000","이매포스파크","전세","84.9900","202605","02","50,400","0","4","2003","이매로123번길 12","202605~202805","갱신","사용","48,000","0","연립다세대"
"5","경기도 성남시 분당구 구미동","278-1","0278","0001","빌라드와이","전세","133.7812","202605","01","105,000","0","1","2010","구미로174번길 6","202608~202808","갱신","사용","105,000","0","연립다세대"
"6","경기도 성남시 분당구 구미동","278-1","0278","0001","빌라드와이","전세","133.7812","202605","01","105,000","0","1","2010","구미로174번길 6","202608~202808","갱신","사용","105,000","0","연립다세대"
"7","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","전세","84.9967","202605","01","73,500","0","1","2023","판교대장로7길 37","202605~202805","갱신","사용","70,000","0","연립다세대"
"8","경기도 성남시 분당구 대장동","590","0590","0000","판교SKVIEWTerrace","전세","75.9975","202605","01","75,000","0","1","2023","판교대장로7길 37","202607~202807","신규","-","","","연립다세대"
"9","경기도 성남시 분당구 야탑동","173","0173","0000","대원빌라(1단지)","전세","57.9750","202604","30","37,000","0","2","1994","야탑로245번길 11","202607~202807","신규","-","","","연립다세대"
"10","경기도 성남시 분당구 구미동","12","0012","0000","까치마을건영빌라5단지","월세","59.9300","202604","29","2,000","116","3","1995","미금일로 136","202604~202804","갱신","사용","2,000","110","연립다세대"
