"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 수정구 단대동","167-4","0167","0004","단대빌라(167-4)","전세","36.5600","202605","07","14,900","0","4","1992","희망로466번길 23-13","202605~202805","신규","-","","","연립다세대"
"2","경기도 성남시 수정구 산성동","637","0637","0000","금오타운C동","전세","57.6000","202605","06","25,000","0","5","2006","수정남로316번길 4","202605~202805","신규","-","","","연립다세대"
"3","경기도 성남시 수정구 단대동","35-7","0035","0007","정원빌라(35-7)","전세","39.3250","202605","04","9,200","0","-1","1994","논골로53번길 18-6","202605~202805","신규","-","","","연립다세대"
"4","경기도 성남시 수정구 단대동","50-3","0050","0003","일광빌라","전세","40.7100","202605","04","15,000","0","2","1993","논골로47번길 4-4","202606~202806","갱신","-","17,000","0","연립다세대"
"5","경기도 성남시 수정구 태평동","6524","6524","0000","코지팰리스","월세","59.6000","202605","02","31,500","53","12","2020","성남대로 1246","202605~202805","갱신","-","30,000","50","연립다세대"
"6","경기도 성남시 수정구 양지동","810","0810","0000","한별빌리지5차","전세","46.3600","202605","02","22,000","0","1","2001","산성대로503번길 11-1","202606~202806","신규","-","","","연립다세대"
"7","경기도 성남시 수정구 산성동","120","0120","0000","명문주택(3차)","월세","34.4800","202605","02","500","70","3","1998","수정남로330번길 10","202605~202612","신규","-","","","연립다세대"
"8","경기도 성남시 수정구 단대동","36-3","0036","0003","동성빌라","월세","37.6500","202605","01","12,000","15","1","1994","논골로53번길 18-3","202606~202806","신규","-","","","연립다세대"
"9","경기도 성남시 수정구 단대동","34-1","0034","0001","진호빌라","월세","50.5000","202604","30","1,000","35","-1","1993","논골로53번길 14-3","202605~202805","갱신","사용","1,000","35","연립다세대"
"10","경기도 성남시 수정구 단대동","6-3","0006","0003","풍산쉐르빌","월세","74.8800","202604","30","2,000","74","3","2004","논골로 93","202604~202804","갱신","사용","2,000","70","연립다세대"
"11","경기도 성남시 수정구 태평동","3286-2","3286","0002","오성빌라트","전세","29.2200","202604","30","8,500","0","4","1994","남문로90번길 5","202607~202807","신규","-","","","연립다세대"
"12","경기도 성남시 수정구 단대동","38-5","0038","0005","(38-5)","전세","35.9000","202604","30","10,000","0","2","1999","논골로53번길 24","202605~202805","신규","-","","","연립다세대"
"13","경기도 성남시 수정구 산성동","431","0431","0000","평화빌라(C동)","전세","36.0100","202604","30","8,500","0","-1","1997","수정남로326번길 6-12","202606~202806","신규","-","","","연립다세대"
"14","경기도 성남시 수정구 산성동","111","0111","0000","성우빌라","전세","59.7800","202604","28","18,000","0","1","1997","수정남로330번길 3","202607~202807","신규","-","","","연립다세대"
"15","경기도 성남시 수정구 창곡동","575","0575","0000","이편한세상테라스위례","월세","84.4613","202604","28","43,803","53","2","2017","위례동이로 24","202605~202805","갱신","-","42,651","52","연립다세대"
"16","경기도 성남시 수정구 수진동","2679-14","2679","0014","(2679-14)","전세","33.8700","202604","27","10,000","0","-1","1991","산성대로149번길 3","202604~202804","신규","-","","","연립다세대"
"17","경기도 성남시 수정구 수진동","3038","3038","0000","개나리빌라","월세","42.6400","202604","27","3,000","75","1","1992","수정로74번길 16","202605~202805","신규","-","","","연립다세대"
"18","경기도 성남시 수정구 단대동","37-6","0037","0006","수정빌라(37-6)","월세","46.0400","202604","27","1,000","45","4","1994","논골로53번길 22","202605~202805","신규","-","","","연립다세대"
"19","경기도 성남시 수정구 태평동","7256-4","7256","0004","궁전빌라(A동)","전세","48.4300","202604","27","20,000","0","4","1991","수정로25번길 24","202605~202805","신규","-","","","연립다세대"
"20","경기도 성남시 수정구 단대동","6-3","0006","0003","풍산쉐르빌","전세","149.7600","202604","27","13,300","0","5","2004","논골로 93","202604~203004","갱신","-","13,000","0","연립다세대"
"21","경기도 성남시 수정구 태평동","3274-2","3274","0002","(3274-2)","월세","40.7500","202604","26","1,000","30","1","1991","남문로90번길 8","202605~202804","신규","-","","","연립다세대"
"22","경기도 성남시 수정구 단대동","11-4","0011","0004","태성그린빌라","전세","37.9800","202604","25","12,000","0","2","1995","논골로69번길 3","202607~202807","신규","-","","","연립다세대"
"23","경기도 성남시 수정구 양지동","135","0135","0000","드림하우스","전세","55.0550","202604","25","28,000","0","3","2015","산성대로567번길 16-8","202604~202804","신규","-","","","연립다세대"
"24","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","월세","23.0900","202604","25","1,000","70","2","2010","성남대로 1244","202604~202804","신규","-","","","연립다세대"
"25","경기도 성남시 수정구 태평동","3261-5","3261","0005","영흥빌라","월세","25.2000","202604","24","9,000","15","2","1989","남문로86번길 18-2","202605~202805","신규","-","","","연립다세대"
"26","경기도 성남시 수정구 태평동","3791","3791","0000","형제빌라","전세","66.1200","202604","24","19,000","0","1","1996","남문로62번길 7","202605~202805","신규","-","","","연립다세대"
"27","경기도 성남시 수정구 태평동","3246-1","3246","0001","대성빌라","전세","61.7200","202604","23","13,900","0","-1","1997","남문로82번길 10","202605~202805","신규","-","","","연립다세대"
"28","경기도 성남시 수정구 신흥동","5383","5383","0000","리치빌(5383-0)","전세","44.4600","202604","22","30,000","0","3","2007","수정남로 108","202604~202804","신규","-","","","연립다세대"
"29","경기도 성남시 수정구 수진동","2990","2990","0000","그린하우스","월세","44.2000","202604","22","3,000","40","1","1983","성남대로1226번길 12","202605~202805","신규","-","","","연립다세대"
"30","경기도 성남시 수정구 단대동","32-3","0032","0003","아름빌라","전세","37.7200","202604","22","7,800","0","-1","1994","논골로53번길 10-7","202606~202806","신규","-","","","연립다세대"
