"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","경기도 성남시 중원구 성남동","3733","3733","0000","로얄아트빌라A동","월세","44.5200","202605","08","1,000","60","-1","1992","제일로53번길 11-3","202605~202805","신규","-","","","연립다세대"
"2","경기도 성남시 중원구 은행동","1848","1848","0000","대성빌라(A)","월세","42.6600","202605","08","1,000","42","3","1991","은행로36번길 14","202606~202806","갱신","사용","1,000","40","연립다세대"
"3","경기도 성남시 중원구 은행동","1256","1256","0000","거산빌라","월세","36.8200","202605","07","1,000","30","-1","1991","산성대로518번길 38-6","202607~202807","신규","-","","","연립다세대"
"4","경기도 성남시 중원구 은행동","1595","1595","0000","건흥빌라","월세","44.0700","202605","07","12,500","15","1","1993","은행로5번길 19","202606~202806","갱신","-","12,500","15","연립다세대"
"5","경기도 성남시 중원구 금광동","2889","2889","0000","태원젠트리움","전세","66.7700","202605","07","35,000","0","5","2009","자혜로 52","202607~202807","신규","-","","","연립다세대"
"6","경기도 성남시 중원구 은행동","1876","1876","0000","동아빌라","전세","40.8500","202605","06","12,500","0","2","1994","은행로38번길 11-16","202606~202806","갱신","-","11,500","0","연립다세대"
"7","경기도 성남시 중원구 하대원동","158-9","0158","0009","장미그린맨션","월세","58.7000","202605","06","300","40","1","1996","마지로163번길 33","202605~202705","신규","-","","","연립다세대"
"8","경기도 성남시 중원구 도촌동","705","0705","0000","동분당KCC스위첸파티오2단지","전세","84.7400","202605","06","65,000","0","1","2019","도촌남로 88","202606~202806","신규","-","","","연립다세대"
"9","경기도 성남시 중원구 상대원동","1979","1979","0000","산청캡슬","전세","59.6700","202605","06","20,000","0","3","2002","둔촌대로389번길 13","202608~202808","신규","-","","","연립다세대"
"10","경기도 성남시 중원구 상대원동","1649","1649","0000","은마주택A동","전세","49.2800","202605","06","12,000","0","3","1986","둔촌대로413번길 37","202606~202806","신규","-","","","연립다세대"
