"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","40.0000","202605","08","36,000","12","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"2","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","33.1200","202605","08","21,000","21","법인","개인","2004","정자일로 177","-","중개거래","경기 성남시 분당구"
"3","경기도 성남시 분당구 구미동","187-3","0187","0003","세종그랑시아｜","36.2000","202605","07","16,500","7","법인","개인","2003","구미로9번길 8","-","직거래","-"
"4","경기도 성남시 분당구 수내동","16-7","0016","0007","한솔인피니티오피스텔","41.4660","202605","07","21,000","6","개인","개인","2004","황새울로200번길 22","-","중개거래","경기 성남시 분당구"
"5","경기도 성남시 분당구 수내동","5-2","0005","0002","삼성보보스쉐르빌","33.8400","202605","06","22,000","23","개인","개인","2004","수내로 54","-","중개거래","경기 성남시 분당구"
"6","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","62.3600","202605","06","43,800","27","개인","개인","2004","느티로 22","-","중개거래","경기 성남시 분당구"
"7","경기도 성남시 분당구 백현동","540","0540","0000","힐스테이트 판교역(7-1BL)","84.9500","202605","06","135,500","9","개인","개인","2022","판교역로 136","-","중개거래","경기 성남시 분당구"
"8","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","40.0000","202605","06","21,500","4","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"9","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","80.0000","202605","06","46,000","14","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"10","경기도 성남시 분당구 수내동","5-2","0005","0002","삼성보보스쉐르빌","37.2800","202605","06","27,000","18","개인","개인","2004","수내로 54","-","중개거래","경기 성남시 분당구"
"11","경기도 성남시 분당구 수내동","5-2","0005","0002","삼성보보스쉐르빌","37.2100","202605","04","27,000","26","개인","개인","2004","수내로 54","-","중개거래","경기 성남시 분당구"
"12","경기도 성남시 분당구 수내동","16-7","0016","0007","한솔인피니티오피스텔","36.1800","202605","04","17,000","7","개인","개인","2004","황새울로200번길 22","-","중개거래","경기 성남시 분당구"
"13","경기도 성남시 분당구 정자동","215","0215","0000","더샵 분당파크리버","84.9959","202605","02","95,000","10","개인","개인","2021","돌마로 171","-","중개거래","경기 성남시 분당구"
"14","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","40.0000","202605","02","22,000","12","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"15","경기도 성남시 분당구 백현동","540","0540","0000","힐스테이트 판교역(7-1BL)","84.9500","202605","02","137,000","15","개인","개인","2022","판교역로 136","-","중개거래","경기 성남시 분당구"
"16","경기도 성남시 분당구 야탑동","220-1","0220","0001","로잔티움파크","83.3300","202605","01","53,500","3","개인","개인","2004","벌말로50번길 42","-","중개거래","경기 성남시 분당구"
"17","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","105.3400","202605","01","135,000","17","개인","개인","2005","성남대로 393","-","중개거래","경기 성남시 분당구"
"18","경기도 성남시 분당구 야탑동","264-1","0264","0001","FOREST HOUSE","81.9900","202605","01","49,000","5","개인","개인","2003","벌말로30번길 46","-","중개거래","경기 성남시 분당구"
"19","경기도 성남시 분당구 수내동","16-7","0016","0007","한솔인피니티오피스텔","36.1800","202605","01","16,000","6","개인","개인","2004","황새울로200번길 22","-","중개거래","경기 성남시 분당구"
"20","경기도 성남시 분당구 수내동","10-1","0010","0001","분당 트라팰리스","56.8900","202605","01","35,000","9","개인","개인","2004","황새울로 234","-","중개거래","경기 성남시 분당구"
"21","경기도 성남시 분당구 금곡동","210","0210","0000","코오롱트리폴리스Ⅰ","119.6600","202605","01","114,000","33","개인","개인","2001","정자일로 1","-","중개거래","경기 성남시 분당구"
"22","경기도 성남시 분당구 정자동","16-1","0016","0001","정자역 AK 와이즈플레이스","31.4300","202605","01","28,500","26","개인","개인","2015","느티로 2","-","중개거래","경기 성남시 분당구"
"23","경기도 성남시 분당구 수내동","10-1","0010","0001","분당 트라팰리스","53.1100","202604","30","43,000","11","개인","개인","2004","황새울로 234","-","중개거래","경기 성남시 분당구"
"24","경기도 성남시 분당구 구미동","187-2","0187","0002","세종그랑시아∥","36.2000","202604","28","17,500","8","개인","개인","2003","구미로9번길 10","-","중개거래","경기 성남시 분당구"
"25","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","60.0000","202604","28","31,000","10","개인","개인","2004","서현로 170","-","직거래","-"
"26","경기도 성남시 분당구 구미동","156","0156","0000","포스빌","35.6300","202604","27","17,500","4","개인","개인","2004","성남대로 51","-","중개거래","경기 성남시 분당구"
"27","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","80.0000","202604","27","49,000","19","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"28","경기도 성남시 분당구 야탑동","220-1","0220","0001","로잔티움파크","83.3300","202604","27","36,050","4","개인","개인","2004","벌말로50번길 42","-","중개거래","경기 성남시 분당구"
"29","경기도 성남시 분당구 금곡동","210","0210","0000","코오롱트리폴리스Ⅰ","120.2300","202604","27","91,500","33","개인","개인","2001","정자일로 1","-","중개거래","경기 성남시 분당구"
"30","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","35.4900","202604","27","23,000","3","개인","개인","2003","성남대로172번길 12","-","중개거래","경기 성남시 분당구"
"31","경기도 성남시 분당구 정자동","154-1","0154","0001","타임브릿지","199.9200","202604","27","204,000","20","법인","개인","2006","정자일로156번길 12","-","중개거래","경기 성남시 분당구"
"32","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","30.5000","202604","27","26,500","5","개인","개인","2004","느티로 22","-","중개거래","경기 성남시 분당구"
"33","경기도 성남시 분당구 수내동","10-1","0010","0001","분당 트라팰리스","87.7400","202604","24","78,600","9","법인","개인","2004","황새울로 234","-","중개거래","서울 강남구"
"34","경기도 성남시 분당구 구미동","156","0156","0000","포스빌","35.6300","202604","23","20,500","7","법인","개인","2004","성남대로 51","-","중개거래","경기 성남시 분당구, 경기 용인시 수지구"
"35","경기도 성남시 분당구 야탑동","219-1","0219","0001","아델파크빌","87.5800","202604","22","50,000","3","법인","개인","2004","장미로 198","-","중개거래","경기 성남시 분당구"
"36","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","38.5200","202604","22","38,800","11","개인","개인","2004","느티로 22","-","중개거래","경기 성남시 분당구"
"37","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","42.8300","202604","22","27,700","4","법인","개인","2003","성남대로172번길 12","-","중개거래","경기 성남시 분당구"
"38","경기도 성남시 분당구 수내동","11-1","0011","0001","청구블루빌","50.0700","202604","22","25,000","8","개인","개인","2000","황새울로 224","-","중개거래","경기 성남시 분당구"
"39","경기도 성남시 분당구 백현동","529","0529","0000","판교역 SK HUB","34.9000","202604","22","31,700","3","개인","개인","2014","판교역로 109","-","직거래","-"
"40","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","60.0000","202604","22","43,200","14","개인","개인","2004","서현로 170","-","중개거래","경기 성남시 분당구"
"41","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","35.4900","202604","21","22,800","7","개인","개인","2003","성남대로172번길 12","-","중개거래","경기 성남시 분당구"
"42","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","70.3300","202604","21","80,000","13","개인","개인","2005","성남대로 393","-","중개거래","경기 성남시 분당구"
