"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 수정구 신흥동","5490","5490","0000","렉스타워","82.0920","202605","06","52,000","6","개인","법인","2023","수정남로 131","-","직거래","-"
"2","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","77.6400","202605","05","89,000","11","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"3","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202605","01","23,000","9","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"4","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202605","01","22,500","7","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"5","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","19.8500","202604","25","17,000","4","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"6","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","65.7300","202604","21","72,500","9","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"7","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","39.2100","202604","20","35,500","7","법인","개인","2017"," ","-","중개거래","경기 용인시 수지구"
"8","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","48.5300","202604","17","47,000","18","개인","개인","2020","위례서일로 46","-","직거래","-"
"9","경기도 성남시 수정구 신흥동","3767","3767","0000","마나하임","71.4050","202604","17","35,800","14","개인","개인","2019","시민로164번길 2","-","중개거래","경기 성남시 수정구"
"10","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","44.4600","202604","16","37,000","6","개인","개인","2017"," ","-","직거래","-"
"11","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","47.4000","202604","16","25,000","14","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"12","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","62.6500","202604","14","33,700","12","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"13","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","25.9200","202604","11","11,500","4","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"14","경기도 성남시 수정구 태평동","3424-1","3424","0001","정맥프린스텔","48.6000","202604","08","15,500","6","개인","개인","1997","탄리로74번길 22","-","중개거래","경기 성남시 수정구"
"15","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","54.3070","202604","08","58,000","6","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
"16","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202604","06","21,800","14","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"17","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","39.2100","202604","04","38,000","6","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"18","경기도 성남시 수정구 태평동","3507","3507","0000","웅진베어스빌","58.0900","202604","01","31,000","14","개인","개인","2019","탄리로 73","-","중개거래","경기 성남시 수정구"
"19","경기도 성남시 수정구 신흥동","2563","2563","0000","더하우스 스테이션Ⅱ","64.5400","202603","28","40,800","7","개인","개인","2020","공원로339번길 17","-","중개거래","경기 성남시 수정구"
"20","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","45.7700","202603","28","44,500","10","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"21","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","28.0800","202603","27","11,500","17","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"22","경기도 성남시 수정구 수진동","2942","2942","0000","주건축물제1동","76.9775","202603","26","43,500","2","개인","법인","2016","제일로157번길 6","-","중개거래","경기 성남시 수정구"
"23","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202603","25","21,200","20","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"24","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","19.7400","202603","23","17,400","7","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"25","경기도 성남시 수정구 태평동","3507","3507","0000","웅진베어스빌","55.4100","202603","22","31,000","4","개인","개인","2019","탄리로 73","-","중개거래","경기 성남시 수정구"
"26","경기도 성남시 수정구 시흥동","339","0339","0000","판교아이스퀘어","23.5303","202603","19","34,000","9","법인","개인","2021","창업로 17","-","직거래","-"
"27","경기도 성남시 수정구 태평동","3507","3507","0000","웅진베어스빌","58.0900","202603","19","30,000","3","개인","법인","2019","탄리로 73","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"28","경기도 성남시 수정구 고등동","585","0585","0000","판교밸리자이 2단지","59.9857","202603","18","67,000","4","개인","개인","2023","대왕판교로 981","-","중개거래","경기 성남시 수정구"
"29","경기도 성남시 수정구 신흥동","2463-4","2463","0004","한신프라자","31.9800","202603","18","12,500","12","개인","개인","1992","산성대로 331","-","중개거래","경기 성남시 수정구"
"30","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202603","16","20,800","5","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"31","경기도 성남시 수정구 태평동","3507","3507","0000","웅진베어스빌","58.0900","202603","15","33,000","4","개인","개인","2019","탄리로 73","-","중개거래","경기 성남시 수정구"
"32","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","23.5800","202603","14","22,000","20","개인","개인","2020","위례서일로 46","-","중개거래","경기 성남시 수정구"
"33","경기도 성남시 수정구 태평동","3652","3652","0000","중앙트라움","71.1900","202603","13","40,000","6","개인","개인","2018","수정로119번길 6-1","-","중개거래","경기 성남시 수정구"
"34","경기도 성남시 수정구 수진동","4618","4618","0000","예건플라츠","57.2000","202603","12","25,000","6","개인","개인","2004","성남대로 1181","-","중개거래","경기 성남시 수정구, 서울 강남구"
"35","경기도 성남시 수정구 신흥동","2571","2571","0000","렉스타워1차","83.9588","202603","10","46,750","4","개인","개인","2018","공원로339번길 33","-","중개거래","경기 성남시 수정구"
"36","경기도 성남시 수정구 태평동","6523","6523","0000","인티움","62.6500","202603","10","34,200","10","개인","개인","2010","성남대로 1244","-","중개거래","경기 성남시 수정구"
"37","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","22.4400","202603","10","20,600","10","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"38","경기도 성남시 수정구 신흥동","2563","2563","0000","더하우스 스테이션Ⅱ","69.6100","202603","09","43,000","7","개인","개인","2020","공원로339번길 17","-","중개거래","경기 성남시 수정구"
"39","경기도 성남시 수정구 신흥동","2487","2487","0000","더그린시티","65.1836","202603","08","51,695","10","개인","법인","2024","산성대로283번길 6-10","-","직거래","-"
"40","경기도 성남시 수정구 신흥동","2487","2487","0000","더그린시티","66.0145","202603","07","52,223","14","개인","법인","2024","산성대로283번길 6-10","-","직거래","-"
"41","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","65.7300","202603","06","72,500","12","개인","개인","2017"," ","-","중개거래","경기 성남시 수정구"
"42","경기도 성남시 수정구 신흥동","2555","2555","0000","더 하우스 스테이션","59.4700","202603","04","34,000","3","개인","개인","2018","공원로339번길 3-1","-","중개거래","경기 성남시 수정구"
"43","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","35.4330","202603","02","33,500","10","개인","개인","2018"," ","-","중개거래","경기 성남시 수정구"
"44","경기도 성남시 수정구 신흥동","2487","2487","0000","더그린시티","65.1836","202602","28","51,695","11","개인","법인","2024","산성대로283번길 6-10","-","직거래","-"
