"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","경기도 성남시 중원구 도촌동","578","0578","0000","트윈캐슬","84.0300","202605","09","32,900","2","개인","개인","2016","도촌로8번길 5-8","-","중개거래","경기 성남시 분당구, 경기 성남시 중원구"
"2","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","36.9300","202605","05","18,500","6","개인","개인","2011","성남대로 1133","-","중개거래","경기 성남시 분당구"
"3","경기도 성남시 중원구 도촌동","571","0571","0000","도촌파크오피스텔","58.3700","202604","30","19,800","5","개인","개인","2010","도촌로8번길 20","-","중개거래","경기 성남시 중원구"
"4","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","25.0000","202604","28","14,500","7","개인","개인","2019","광명로 103","-","중개거래","경기 성남시 수정구, 경기 성남시 중원구"
"5","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202604","26","15,950","4","개인","법인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"6","경기도 성남시 중원구 성남동","2167","2167","0000","성남 수진역 더리브 프리미어","33.9900","202604","25","25,000","14","개인","개인","2024","산성대로 194","-","중개거래","경기 성남시 중원구"
"7","경기도 성남시 중원구 성남동","2263","2263","0000","현대그린타운","21.9600","202604","23","7,000","10","개인","개인","1999","광명로 71","-","중개거래","경기 광주시"
"8","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202604","22","17,000","3","개인","법인","2017","광명로 89","-","직거래","-"
"9","경기도 성남시 중원구 여수동","183","0183","0000","성남 여수 오렌지카운티","25.1700","202604","21","16,950","6","개인","법인","2019","성남대로 993","-","중개거래","경기 성남시 중원구"
"10","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202604","20","16,300","9","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"11","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","23.5402","202604","18","16,000","6","개인","개인","2017","광명로 89","-","중개거래","경기 성남시 중원구"
"12","경기도 성남시 중원구 성남동","3135","3135","0000","지앤느 모란","21.4200","202604","18","15,600","10","개인","개인","2020","산성대로 136","-","중개거래","경기 성남시 중원구"
"13","경기도 성남시 중원구 여수동","183","0183","0000","성남 여수 오렌지카운티","25.1700","202604","18","16,950","4","개인","법인","2019","성남대로 993","-","중개거래","경기 성남시 중원구"
