"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 분당구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","월세","62.3600","202605","08","44,000","8","32","2004","느티로 22","202605~202805","갱신","-","44,000","0"
"2","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","전세","24.9800","202605","08","21,000","0","21","2015","정자일로 135","202606~202806","신규","-","",""
"3","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","월세","48.9900","202605","08","1,000","125","6","2003","성남대로172번길 12","202605~202705","갱신","-","1,000","120"
"4","경기도 성남시 분당구 구미동","9-1","0009","0001","분당 엠코 헤리츠","월세","30.4300","202605","08","20,000","10","10","2014","성남대로 151","202606~202706","신규","-","",""
"5","경기도 성남시 분당구 정자동","16-2","0016","0002","정자동2차푸르지오시티","월세","30.8900","202605","08","23,800","10","14","2013","정자일로 197","202606~202806","신규","-","",""
"6","경기도 성남시 분당구 금곡동","170","0170","0000","천사의도시Ⅲ오피스텔","월세","36.1600","202605","07","11,000","40","7","2004","정자일로6번길 13","202607~202807","신규","-","",""
"7","경기도 성남시 분당구 삼평동","647","0647","0000","(647)","전세","28.5000","202605","07","24,500","0","8","2012","대왕판교로606번길 31","202607~202807","신규","-","",""
"8","경기도 성남시 분당구 서현동","276-1","0276","0001","한라시그마파크","월세","37.3100","202605","07","1,000","95","8","2003","황새울로 307","202606~202706","신규","-","",""
"9","경기도 성남시 분당구 정자동","166-2","0166","0002","정자역 엠코헤리츠 3단지","전세","29.7300","202605","07","23,000","0","9","2014","정자일로 136","202606~202806","신규","-","",""
"10","경기도 성남시 분당구 백현동","529","0529","0000","판교역 SK HUB","월세","31.1500","202605","07","1,000","110","8","2014","판교역로 109","202606~202706","신규","-","",""
"11","경기도 성남시 분당구 정자동","166-2","0166","0002","정자역 엠코헤리츠 3단지","월세","29.7300","202605","07","23,000","5","2","2014","정자일로 136","202606~202806","신규","-","",""
"12","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","전세","47.7900","202605","07","42,000","0","31","2015","정자일로 135","202607~202807","갱신","-","41,300","0"
"13","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","전세","33.1200","202605","07","20,700","0","22","2004","정자일로 177","202606~202806","신규","-","",""
"14","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","월세","30.8100","202605","06","15,600","13","3","2003","성남대로172번길 12","202605~202705","갱신","사용","15,600","10"
"15","경기도 성남시 분당구 정자동","16-2","0016","0002","정자동2차푸르지오시티","월세","29.9900","202605","06","20,000","28","4","2013","정자일로 197","202605~202705","갱신","-","20,000","23"
"16","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","전세","47.7900","202605","05","39,690","0","4","2015","정자일로 135","202606~202806","갱신","-","37,800","0"
"17","경기도 성남시 분당구 정자동","165-1","0165","0001","정자역 엠코헤리츠 1단지","전세","29.7300","202605","05","22,950","0","9","2014","정자일로 146","202606~202806","신규","-","",""
"18","경기도 성남시 분당구 백현동","529","0529","0000","판교역 SK HUB","월세","35.3800","202605","05","3,500","120","5","2014","판교역로 109","202605~202705","신규","-","",""
"19","경기도 성남시 분당구 정자동","16-1","0016","0001","정자역 AK 와이즈플레이스","월세","26.6500","202605","04","3,000","100","26","2015","느티로 2","202606~202806","갱신","-","3,000","100"
"20","경기도 성남시 분당구 수내동","23-1","0023","0001","로얄팰리스 하우스빌","월세","29.6000","202605","04","14,800","32","12","2004","백현로 105","202606~202806","신규","-","",""
"21","경기도 성남시 분당구 수내동","21-2","0021","0002","현대판테온I오피스텔","전세","91.7600","202605","04","77,000","0","26","2000","황새울로200번길 9-7","202605~202805","갱신","-","77,000","0"
"22","경기도 성남시 분당구 야탑동","219-1","0219","0001","아델파크빌","월세","67.9100","202605","04","30,000","25","6","2004","장미로 198","202606~202806","신규","-","",""
"23","경기도 성남시 분당구 정자동","16-2","0016","0002","정자동2차푸르지오시티","월세","30.2700","202605","04","1,000","100","9","2013","정자일로 197","202605~202705","신규","-","",""
"24","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","월세","34.1500","202605","04","20,700","9","8","2004","정자일로 177","202607~202807","갱신","사용","20,700","5"
"25","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","24.9800","202605","04","1,000","88","7","2015","정자일로 135","202607~202706","갱신","-","1,000","83"
"26","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","월세","45.7200","202605","04","27,000","5","3","2003","성남대로172번길 12","202606~202806","갱신","사용","27,000","0"
"27","경기도 성남시 분당구 백현동","529","0529","0000","판교역 SK HUB","전세","34.9000","202605","04","31,000","0","2","2014","판교역로 109","202606~202806","신규","-","",""
"28","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","전세","37.6800","202605","04","31,000","0","31","2005","성남대로 393","202607~202807","갱신","사용","31,000","0"
"29","경기도 성남시 분당구 정자동","168-1","0168","0001","대림아크로텔","전세","34.0700","202605","04","21,450","0","3","2004","성남대로 295","202605~202805","갱신","사용","21,450","3"
"30","경기도 성남시 분당구 정자동","157-2","0157","0002","우정오피스텔","월세","25.0800","202605","03","500","58","3","2002","성남대로331번길 9-3","202605~202705","갱신","-","500","55"
"31","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","전세","25.4100","202605","02","21,250","0","21","2015","정자일로 135","202606~202806","갱신","-","21,800","0"
"32","경기도 성남시 분당구 금곡동","172","0172","0000","씨티밸리","월세","35.4000","202605","02","1,000","90","7","2003","성남대로171번길 17","202606~202706","신규","-","",""
"33","경기도 성남시 분당구 대장동","616-1","0616","0001","클라우드베이 VI","월세","28.4900","202605","02","12,000","60","4","2022","판교대장로8길 10","202606~202806","신규","-","",""
"34","경기도 성남시 분당구 정자동","16-2","0016","0002","정자동2차푸르지오시티","월세","29.9900","202605","02","1,000","105","12","2013","정자일로 197","202605~202705","신규","-","",""
"35","경기도 성남시 분당구 구미동","9-1","0009","0001","분당 엠코 헤리츠","전세","30.4300","202605","02","21,000","0","7","2014","성남대로 151","202605~202805","신규","-","",""
"36","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","25.2700","202605","02","1,000","100","18","2015","정자일로 135","202605~202705","신규","-","",""
"37","경기도 성남시 분당구 정자동","166-1","0166","0001","정자역 엠코헤리츠 2단지","월세","29.7300","202605","02","1,000","100","10","2014","정자일로 140","202605~202705","신규","-","",""
"38","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","25.4600","202605","02","21,250","5","21","2015","정자일로 135","202606~202806","갱신","사용","21,800","0"
"39","경기도 성남시 분당구 백현동","540","0540","0000","힐스테이트 판교역(7-1BL)","전세","84.9500","202605","02","93,000","0","7","2022","판교역로 136","202607~202807","신규","-","",""
"40","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","월세","35.0000","202605","01","17,000","20","7","2004","서현로 170","202606~202806","신규","-","",""
"41","경기도 성남시 분당구 정자동","165-1","0165","0001","정자역 엠코헤리츠 1단지","전세","29.7300","202605","01","23,100","0","7","2014","정자일로 146","202606~202806","갱신","-","23,100","0"
"42","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","47.7900","202605","01","2,000","182","7","2015","정자일로 135","202605~202705","갱신","사용","2,000","173"
"43","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","전세","25.0800","202605","01","21,200","0","20","2015","정자일로 135","202606~202806","신규","-","",""
"44","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","월세","30.8100","202605","01","6,000","50","8","2003","성남대로172번길 12","202607~202807","갱신","-","6,000","40"
"45","경기도 성남시 분당구 야탑동","342-2","0342","0002","르네상스분당오피스텔","월세","33.7200","202605","01","1,000","80","6","2003","장미로48번길 10","202605~202705","신규","-","",""
"46","경기도 성남시 분당구 대장동","614-1","0614","0001","클라우드베이 IV","전세","55.3300","202605","01","37,000","0","3","2022","판교대장로8길 9","202606~202806","신규","-","",""
"47","경기도 성남시 분당구 구미동","156","0156","0000","포스빌","월세","35.6300","202605","01","1,000","85","4","2004","성남대로 51","202605~202705","신규","-","",""
"48","경기도 성남시 분당구 서현동","255-1","0255","0001","분당풍림아이원플러스오피스텔","전세","40.0000","202605","01","20,000","0","14","2004","서현로 170","202607~202807","신규","-","",""
"49","경기도 성남시 분당구 정자동","24","0024","0000","분당인텔리지2","월세","33.1200","202604","30","20,700","10","9","2004","정자일로 177","202607~202807","신규","-","",""
"50","경기도 성남시 분당구 수내동","23-1","0023","0001","로얄팰리스 하우스빌","월세","29.5000","202604","30","1,000","80","17","2004","백현로 105","202604~202704","신규","-","",""
"51","경기도 성남시 분당구 정자동","165-1","0165","0001","정자역 엠코헤리츠 1단지","월세","25.3600","202604","30","1,000","95","10","2014","정자일로 146","202605~202705","신규","-","",""
"52","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","48.1600","202604","30","2,000","172","5","2015","정자일로 135","202606~202706","신규","-","",""
"53","경기도 성남시 분당구 정자동","16-2","0016","0002","정자동2차푸르지오시티","월세","30.2700","202604","30","23,800","5","19","2013","정자일로 197","202605~202805","신규","-","",""
"54","경기도 성남시 분당구 정자동","16-1","0016","0001","정자역 AK 와이즈플레이스","월세","26.6500","202604","30","1,000","103","9","2015","느티로 2","202605~202705","신규","-","",""
"55","경기도 성남시 분당구 정자동","168-1","0168","0001","대림아크로텔","전세","41.0900","202604","30","21,735","0","6","2004","성남대로 295","202607~202807","신규","-","",""
"56","경기도 성남시 분당구 정자동","168-1","0168","0001","대림아크로텔","월세","34.0700","202604","30","1,000","95","10","2004","성남대로 295","202605~202705","신규","-","",""
"57","경기도 성남시 분당구 정자동","7","0007","0000","분당두산위브파빌리온","전세","41.6300","202604","30","37,000","0","17","2005","성남대로 393","202609~202809","갱신","사용","35,300","0"
"58","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","월세","47.8800","202604","30","2,000","120","3","2003","성남대로172번길 12","202606~202706","신규","-","",""
"59","경기도 성남시 분당구 서현동","245-1","0245","0001","분당오벨리스크","월세","35.7800","202604","29","1,000","90","8","2003","서현로 216","202606~202706","신규","-","",""
"60","경기도 성남시 분당구 구미동","187-3","0187","0003","세종그랑시아｜","월세","32.2000","202604","29","14,000","15","6","2003","구미로9번길 8","202605~202705","갱신","-","15,000","0"
"61","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","전세","56.3400","202604","29","46,300","0","5","2004","느티로 22","202607~202807","신규","-","",""
"62","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","전세","52.4900","202604","29","46,200","0","22","2004","느티로 22","202605~202705","갱신","-","45,000","0"
"63","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","25.0000","202604","29","21,250","5","13","2015","정자일로 135","202606~202806","신규","-","",""
"64","경기도 성남시 분당구 대장동","661","0661","0000","판교 디오르나인 101동","월세","84.9900","202604","29","5,000","240","10","2024","판교대장로2길 34","202604~202804","신규","-","",""
"65","경기도 성남시 분당구 야탑동","342-2","0342","0002","르네상스분당오피스텔","월세","34.8900","202604","29","17,000","10","4","2003","장미로48번길 10","202606~202706","신규","-","",""
"66","경기도 성남시 분당구 야탑동","342-2","0342","0002","르네상스분당오피스텔","월세","34.8900","202604","29","1,000","85","7","2003","장미로48번길 10","202606~202706","신규","-","",""
"67","경기도 성남시 분당구 운중동","913","0913","0000","힐스테이트 판교 모비우스","전세","84.1400","202604","29","50,000","0","2","2018","석운로 440","202606~202806","신규","-","",""
"68","경기도 성남시 분당구 백현동","540","0540","0000","힐스테이트 판교역(7-1BL)","전세","84.6100","202604","28","99,000","0","8","2022","판교역로 136","202606~202806","신규","-","",""
"69","경기도 성남시 분당구 삼평동","617","0617","0000","판교 테크노밸리 브릿지타워","월세","21.4300","202604","28","1,000","95","6","2015","판교로227번길 6","202606~202706","신규","-","",""
"70","경기도 성남시 분당구 삼평동","658","0658","0000","판교역 KCC웰츠타워","월세","39.6900","202604","28","1,000","145","15","2013","분당내곡로 159","202606~202706","신규","-","",""
"71","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","전세","45.7200","202604","28","26,500","0","4","2003","성남대로172번길 12","202605~202805","갱신","-","25,000","10"
"72","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","월세","50.8800","202604","28","25,000","50","7","2003","성남대로172번길 12","202608~202808","신규","-","",""
"73","경기도 성남시 분당구 수내동","23-1","0023","0001","로얄팰리스 하우스빌","월세","29.5000","202604","28","16,000","10","16","2004","백현로 105","202605~202805","갱신","-","17,250","0"
"74","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","전세","47.7900","202604","28","48,000","0","23","2015","정자일로 135","202606~202806","신규","-","",""
"75","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","29.4400","202604","28","28,000","5","19","2015","정자일로 135","202605~202705","갱신","-","28,000","0"
"76","경기도 성남시 분당구 정자동","166-2","0166","0002","정자역 엠코헤리츠 3단지","월세","29.7300","202604","28","20,000","20","9","2014","정자일로 136","202605~202805","갱신","사용","23,000","5"
"77","경기도 성남시 분당구 정자동","162-2","0162","0002","정자동3차 푸르지오 시티","월세","25.4600","202604","28","3,000","85","25","2015","정자일로 135","202606~202704","신규","-","",""
"78","경기도 성남시 분당구 정자동","17-2","0017","0002","백궁 동양파라곤","전세","26.9500","202604","28","22,000","0","19","2004","느티로 22","202605~202805","갱신","사용","21,600","0"
"79","경기도 성남시 분당구 정자동","168-1","0168","0001","대림아크로텔","월세","34.0700","202604","28","21,500","15","10","2004","성남대로 295","202606~202806","신규","-","",""
"80","경기도 성남시 분당구 정자동","165-1","0165","0001","정자역 엠코헤리츠 1단지","전세","29.7300","202604","27","23,100","0","9","2014","정자일로 146","202605~202805","갱신","사용","23,100","0"
"81","경기도 성남시 분당구 정자동","16-1","0016","0001","정자역 AK 와이즈플레이스","월세","20.5000","202604","27","17,500","9","14","2015","느티로 2","202605~202705","신규","-","",""
"82","경기도 성남시 분당구 정자동","16-1","0016","0001","정자역 AK 와이즈플레이스","월세","20.5000","202604","27","1,000","87","9","2015","느티로 2","202605~202705","신규","-","",""
"83","경기도 성남시 분당구 금곡동","147","0147","0000","현대아리온 오피스텔","월세","30.8100","202604","27","1,000","82","5","2003","성남대로172번길 12","202605~202705","신규","-","",""
