"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 수정구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","월세","28.3600","202605","08","2,000","110","13","2017"," ","202605~202705","신규","-","",""
"2","경기도 성남시 수정구 시흥동","342","0342","0000","판교 디앤써밋 에디션","전세","27.4100","202605","06","29,500","0","7","2023"," ","202606~202806","신규","-","",""
"3","경기도 성남시 수정구 시흥동","322","0322","0000","판교아이스퀘어","월세","23.9600","202605","04","1,000","132","7","2021","대왕판교로 815","202605~202611","신규","-","",""
"4","경기도 성남시 수정구 창곡동","560","0560","0000","남위례역아이파크","월세","47.1700","202605","02","38,000","7","11","2017"," ","202606~202806","갱신","사용","38,000","0"
"5","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","35.4300","202605","01","3,000","130","18","2018"," ","202607~202707","갱신","-","3,000","130"
"6","경기도 성남시 수정구 시흥동","339","0339","0000","판교아이스퀘어","전세","23.5300","202605","01","22,000","0","6","2021","창업로 17","202605~202805","신규","-","",""
"7","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","전세","57.7700","202605","01","50,000","0","7","2018"," ","202606~202806","신규","-","",""
"8","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","전세","45.7700","202604","30","40,000","0","8","2020","위례서일로 46","202605~202805","신규","-","",""
"9","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","월세","23.5800","202604","29","18,100","3","12","2020","위례서일로 46","202605~202805","신규","-","",""
"10","경기도 성남시 수정구 고등동","601","0601","0000","판교밸리자이 3단지","월세","84.9800","202604","29","5,000","260","10","2023","대왕판교로 961","202606~202806","신규","-","",""
"11","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","전세","23.5800","202604","29","18,600","0","9","2020","위례서일로 46","202605~202805","갱신","사용","19,000","0"
"12","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","전세","57.7300","202604","29","49,300","0","16","2018"," ","202607~202807","신규","-","",""
"13","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","전세","65.6300","202604","27","44,100","0","14","2017"," ","202605~202705","갱신","-","42,000","0"
"14","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","35.4300","202604","25","27,560","5","5","2018"," ","202606~202806","신규","-","",""
"15","경기도 성남시 수정구 시흥동","342","0342","0000","판교 디앤써밋 에디션","전세","27.1300","202604","24","29,000","0","9","2023"," ","202605~202805","신규","-","",""
"16","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","월세","41.6300","202604","24","30,000","30","5","2018","위례광장로 21-9","202604~202710","신규","-","",""
"17","경기도 성남시 수정구 시흥동","322","0322","0000","판교아이스퀘어","월세","45.8300","202604","22","1,000","222","10","2021","대왕판교로 815","202606~202705","신규","-","",""
"18","경기도 성남시 수정구 수진동","4510-1","4510","0001","샛별오피스텔","월세","25.9200","202604","22","1,000","53","2","2003","제일로 101","202605~202704","신규","-","",""
"19","경기도 성남시 수정구 신흥동","5490","5490","0000","렉스타워","전세","82.0900","202604","21","34,650","0","2","2023","수정남로 131","202605~202805","갱신","사용","33,000","0"
"20","경기도 성남시 수정구 신흥동","4205","4205","0000","이한팔라티움A","월세","79.7200","202604","21","30,000","20","5","2017","산성대로249번길 6-1","202605~202805","갱신","사용","30,000","0"
"21","경기도 성남시 수정구 창곡동","505","0505","0000","위례 한화 오벨리스크 센트럴스퀘어","월세","65.7300","202604","21","15,000","160","15","2017"," ","202606~202805","신규","-","",""
"22","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","월세","30.1700","202604","20","1,000","130","20","2018","위례광장로 21-9","202604~202804","신규","-","",""
"23","경기도 성남시 수정구 창곡동","562-1","0562","0001","위례KCC웰츠타워","월세","51.4800","202604","18","25,000","88","17","2018","위례광장로 21-9","202605~202805","갱신","사용","25,000","80"
"24","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","월세","45.7700","202604","18","37,500","10","17","2020","위례서일로 46","202605~202705","갱신","-","37,500","0"
"25","경기도 성남시 수정구 창곡동","560-1","0560","0001","남위례역 푸르지오 시티","월세","45.4400","202604","18","35,000","7","17","2018"," ","202605~202805","갱신","-","35,000","0"
"26","경기도 성남시 수정구 창곡동","559-10","0559","0010","위례엘포트한라비발디","월세","45.7700","202604","17","15,000","120","9","2020","위례서일로 46","202605~202805","신규","-","",""
"27","경기도 성남시 수정구 신흥동","2506","2506","0000","The Zen City 오피스텔","전세","46.0200","202604","17","30,450","0","9","2023","산성대로269번길 6-8","202604~202804","갱신","사용","29,000","0"
"28","경기도 성남시 수정구 신흥동","3425","3425","0000","신성파크펠리스","전세","73.9500","202604","17","35,000","0","4","2023","수정로220번길 5","202606~202806","신규","-","",""
