"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-05-13 ~ 2026-05-12"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 성남시 중원구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","경기도 성남시 중원구 성남동","2340","2340","0000","더 갤러리","월세","82.5300","202605","07","16,158","35","13","2019","광명로 88","202607~202806","갱신","-","15,792","32"
"2","경기도 성남시 중원구 여수동","205","0205","0000","신야탑 푸르지오시티Ⅰ","월세","29.0500","202605","07","1,000","85","9","2013","양현로405번길 5","202607~202707","신규","-","",""
"3","경기도 성남시 중원구 성남동","4933","4933","0000","성남아리스타","월세","18.3700","202605","06","14,700","15","5","2020","둔촌대로80번길 3-10","202606~202806","신규","-","",""
"4","경기도 성남시 중원구 성남동","1404","1404","0000","성남 센트럴 푸르지오 시티","월세","23.1800","202605","04","1,000","78","5","2017","광명로 89","202607~202707","신규","-","",""
"5","경기도 성남시 중원구 성남동","2164","2164","0000","영건센스빌","월세","34.5100","202605","04","11,000","10","4","2004","산성대로 198","202606~202806","신규","-","",""
"6","경기도 성남시 중원구 성남동","4169","4169","0000","성남 메트로칸","월세","35.8000","202605","04","10,000","42","6","2011","성남대로 1133","202606~202806","신규","-","",""
"7","경기도 성남시 중원구 성남동","2167","2167","0000","성남 수진역 더리브 프리미어","전세","77.4500","202605","02","45,000","0","8","2024","산성대로 194","202606~202806","신규","-","",""
"8","경기도 성남시 중원구 여수동","201","0201","0000","시티파크","월세","27.1600","202605","02","18,000","7","5","2019","양현로405번길 17","202605~202708","갱신","사용","18,000","4"
"9","경기도 성남시 중원구 성남동","2201","2201","0000","수진역 코아루 천년가 오피스텔","전세","38.1600","202605","02","20,000","0","13","2019","광명로 103","202605~202805","갱신","-","19,500","5"
"10","경기도 성남시 중원구 성남동","2167","2167","0000","성남 수진역 더리브 프리미어","전세","77.4500","202605","02","45,000","0","8","2024","산성대로 194","202606~202806","갱신","사용","43,000","0"
