admi_nm,total_corp,it_corp,it_ratio
고등동,580,55,0.09482758620689655
구미1동,1105,119,0.1076923076923077
구미동,1048,133,0.1269083969465649
금곡동,918,114,0.12418300653594772
금광1동,61,3,0.04918032786885246
금광2동,194,16,0.08247422680412371
단대동,88,5,0.056818181818181816
도촌동,558,50,0.08960573476702509
백현동,654,148,0.22629969418960244
복정동,675,87,0.1288888888888889
분당동,156,24,0.15384615384615385
산성동,28,1,0.03571428571428571
삼평동,3374,1181,0.3500296384113811
상대원1동,3475,207,0.05956834532374101
상대원2동,304,17,0.05592105263157895
상대원3동,51,4,0.0784313725490196
서현1동,2227,386,0.17332734620565785
서현2동,176,19,0.10795454545454546
성남동,1006,94,0.09343936381709742
수내1동,1739,316,0.18171362852213915
수내2동,90,10,0.1111111111111111
수내3동,73,7,0.0958904109589041
수진1동,128,18,0.140625
수진2동,249,29,0.11646586345381527
시흥동,1098,413,0.3761384335154827
신촌동,141,12,0.0851063829787234
신흥1동,82,6,0.07317073170731707
신흥2동,187,12,0.06417112299465241
신흥3동,122,7,0.05737704918032787
야탑1동,1638,253,0.15445665445665446
야탑2동,294,40,0.1360544217687075
야탑3동,987,91,0.09219858156028368
양지동,44,2,0.045454545454545456
운중동,747,129,0.17269076305220885
위례동,1230,126,0.1024390243902439
은행1동,28,2,0.07142857142857142
은행2동,95,8,0.08421052631578947
이매1동,414,61,0.1473429951690821
이매2동,120,9,0.075
정자1동,2212,393,0.17766726943942135
정자2동,67,9,0.13432835820895522
정자3동,128,20,0.15625
정자동,265,30,0.11320754716981132
중앙동,57,5,0.08771929824561403
태평1동,201,22,0.10945273631840796
태평2동,118,4,0.03389830508474576
태평3동,89,6,0.06741573033707865
태평4동,51,3,0.058823529411764705
판교동,386,46,0.11917098445595854
하대원동,338,6,0.01775147928994083
