gu_name,행정구역읍면동코드,total_workers,regular_workers,self_employed,self_employed_ratio,industry_A,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I,industry_J,industry_K,industry_L,industry_M,industry_N,industry_O,industry_P,industry_Q,industry_R,industry_S,dong_name,total_biz,it_ratio,건설업(41~42),"공공 행정, 국방 및 사회보장 행정(84)",광업(05~08),교육 서비스업(85),금융 및 보험업(64~66),"농업, 임업 및 어업(01~03)",도매 및 소매업(45~47),보건업 및 사회복지 서비스업(86~87),부동산업(68),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",숙박 및 음식점업(55~56),"예술, 스포츠 및 여가관련 서비스업(90~91)",운수 및 창고업(49~52),"전기, 가스, 증기 및 공기조절 공급업(35)","전문, 과학 및 기술 서비스업(70~73)",정보통신업(58~63),제조업(10~34),"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)"
분당구,510,3179.0,1902.0,824.0,0.2592010066058509,0.0,0.0,5.0,297.0,0.0,273.0,504.0,169.0,136.0,46.0,0.0,155.0,513.0,55.0,0.0,474.0,340.0,44.0,168.0,분당동,902,0.0421286031042128,41,1,0,72,0,2,284,29,70,22,0,58,28,71,6,69,38,16,95
분당구,520,2326.0,1154.0,709.0,0.3048151332760103,0.0,0.0,6.0,0.0,0.0,118.0,277.0,282.0,243.0,24.0,0.0,112.0,38.0,12.0,0.0,702.0,323.0,65.0,124.0,수내1동,3250,0.0664615384615384,85,3,0,252,70,1,1150,99,223,59,1,421,80,74,4,228,216,69,215
분당구,530,21862.0,14805.0,2157.0,0.098664349098893,0.0,0.0,502.0,5.0,0.0,2695.0,4175.0,235.0,1581.0,4788.0,932.0,776.0,1783.0,322.0,780.0,1496.0,806.0,223.0,763.0,수내2동,620,0.014516129032258,19,1,0,131,4,0,183,22,37,8,0,62,27,10,2,22,9,9,74
분당구,540,1895.0,912.0,670.0,0.3535620052770448,0.0,0.0,18.0,0.0,0.0,86.0,374.0,21.0,156.0,15.0,26.0,207.0,67.0,11.0,0.0,566.0,172.0,85.0,91.0,수내3동,684,0.0248538011695906,25,2,0,157,2,0,128,27,45,10,0,90,29,56,0,12,17,5,79
분당구,550,1285.0,582.0,467.0,0.3634241245136186,0.0,0.0,0.0,6.0,0.0,70.0,242.0,88.0,46.0,27.0,0.0,132.0,38.0,17.0,0.0,262.0,232.0,54.0,71.0,정자동,1953,0.0517153097798259,67,1,0,198,10,0,473,61,113,39,1,363,96,47,3,110,101,78,192
분당구,560,3955.0,2908.0,535.0,0.1352718078381795,0.0,0.0,3.0,0.0,0.0,28.0,581.0,41.0,211.0,720.0,0.0,239.0,601.0,325.0,0.0,679.0,275.0,79.0,173.0,정자1동,3768,0.0647558386411889,88,2,0,445,84,2,932,152,301,80,1,634,114,37,3,315,244,55,279
분당구,580,34876.0,24594.0,3834.0,0.1099323316894139,0.0,0.0,224.0,3.0,0.0,1662.0,5777.0,509.0,3390.0,5751.0,3470.0,1111.0,3291.0,484.0,891.0,1693.0,4460.0,803.0,1357.0,정자2동,466,0.0493562231759656,21,1,0,54,0,0,139,21,40,5,0,21,18,34,4,28,23,7,50
분당구,590,3077.0,1273.0,1079.0,0.3506662333441664,0.0,0.0,22.0,0.0,0.0,65.0,564.0,37.0,426.0,44.0,60.0,188.0,74.0,43.0,0.0,718.0,522.0,103.0,211.0,정자3동,529,0.0472589792060491,15,1,0,58,0,0,133,26,53,11,2,52,15,32,1,39,25,10,56
분당구,600,4985.0,3059.0,976.0,0.1957873620862587,0.0,0.0,25.0,3.0,0.0,466.0,789.0,92.0,272.0,209.0,33.0,249.0,499.0,221.0,48.0,1065.0,639.0,117.0,258.0,서현1동,4943,0.0530042484321262,141,5,0,278,172,0,1551,225,349,95,3,748,156,149,4,340,262,68,397
분당구,610,2087.0,1073.0,627.0,0.3004312410158121,0.0,0.0,15.0,0.0,0.0,220.0,312.0,44.0,111.0,26.0,22.0,149.0,108.0,57.0,0.0,526.0,270.0,120.0,107.0,서현2동,966,0.0227743271221532,24,2,0,175,11,0,215,57,64,17,0,134,40,36,0,35,22,23,111
분당구,620,27057.0,19162.0,2680.0,0.0990501533799017,0.0,0.0,353.0,0.0,62.0,2812.0,3691.0,476.0,2324.0,1288.0,878.0,698.0,1975.0,5152.0,320.0,643.0,5303.0,344.0,738.0,이매1동,1224,0.0465686274509803,59,4,0,149,14,0,352,48,101,25,0,87,38,65,3,84,57,32,106
분당구,630,14854.0,9638.0,2499.0,0.1682375117813383,0.0,0.0,2374.0,0.0,94.0,636.0,1962.0,1308.0,521.0,643.0,51.0,344.0,1996.0,1610.0,215.0,973.0,1262.0,379.0,486.0,이매2동,629,0.0302066772655007,23,1,0,102,8,0,155,28,59,12,0,50,29,22,0,33,19,13,75
분당구,640,8298.0,6348.0,750.0,0.0903832248734634,0.0,0.0,436.0,0.0,0.0,210.0,505.0,141.0,247.0,159.0,25.0,854.0,3330.0,1280.0,0.0,523.0,352.0,72.0,164.0,야탑1동,3443,0.0508277664827185,129,3,0,112,108,0,1067,147,209,78,2,553,117,133,0,259,175,56,295
분당구,670,22365.0,18038.0,1921.0,0.0858931365973619,0.0,0.0,389.0,3.0,0.0,1100.0,2814.0,2493.0,1191.0,1114.0,250.0,1359.0,2143.0,1416.0,0.0,675.0,6767.0,200.0,451.0,야탑2동,810,0.0320987654320987,46,2,0,108,7,0,211,28,66,10,1,60,25,65,2,47,26,22,84
분당구,680,8551.0,5551.0,1914.0,0.2238334697696176,0.0,0.0,128.0,133.0,0.0,404.0,1949.0,391.0,921.0,508.0,77.0,533.0,1008.0,125.0,191.0,960.0,574.0,196.0,453.0,야탑3동,3134,0.0312699425654116,147,5,0,127,13,0,702,82,152,76,5,201,58,855,1,161,98,237,214
분당구,710,14388.0,9974.0,2192.0,0.1523491798721156,0.0,0.0,97.0,0.0,0.0,846.0,2446.0,716.0,1007.0,1166.0,192.0,588.0,625.0,2326.0,203.0,862.0,2200.0,257.0,857.0,판교동,1216,0.0592105263157894,45,2,0,139,20,0,346,48,91,12,1,156,36,23,4,83,72,28,110
분당구,720,9885.0,6148.0,1461.0,0.1477996965098634,0.0,0.0,485.0,0.0,0.0,1697.0,1714.0,67.0,914.0,255.0,43.0,368.0,668.0,861.0,421.0,777.0,853.0,154.0,608.0,삼평동,4529,0.2207992934422609,73,10,0,157,106,2,900,132,308,93,6,700,72,166,9,501,1000,138,156
분당구,740,95912.0,89689.0,2134.0,0.0222495620985903,0.0,0.0,3981.0,15.0,48.0,1740.0,10178.0,722.0,3607.0,39767.0,1532.0,1871.0,18418.0,10238.0,349.0,823.0,1746.0,218.0,659.0,백현동,2511,0.057347670250896,65,1,0,132,34,1,972,59,154,53,0,353,44,142,7,142,144,47,161
분당구,750,5871.0,3663.0,1100.0,0.1873616079032533,0.0,0.0,22.0,7.0,0.0,491.0,1039.0,23.0,713.0,134.0,75.0,221.0,672.0,38.0,0.0,1203.0,439.0,300.0,494.0,금곡동,1797,0.056761268781302,60,2,0,137,23,0,426,137,126,42,1,196,75,172,0,89,102,46,163
분당구,760,26570.0,22445.0,1708.0,0.0642830259691381,0.0,0.0,64.0,85.0,0.0,170.0,3163.0,602.0,2385.0,12607.0,3391.0,377.0,686.0,452.0,0.0,730.0,1192.0,213.0,453.0,구미1동,2017,0.0426375805651958,116,4,1,120,14,1,741,84,119,45,1,252,57,42,2,145,86,52,135
분당구,770,37334.0,28199.0,2653.0,0.0710612310494455,0.0,0.0,773.0,30.0,0.0,2629.0,4125.0,220.0,3231.0,10867.0,1514.0,1751.0,5491.0,868.0,0.0,2875.0,1418.0,761.0,781.0,구미동,2223,0.0656770130454341,90,2,0,167,22,0,584,104,165,42,0,268,68,147,3,161,146,72,182
분당구,780,4886.0,2390.0,1375.0,0.2814162914449447,0.0,0.0,107.0,0.0,0.0,304.0,863.0,59.0,879.0,74.0,27.0,165.0,135.0,359.0,0.0,812.0,604.0,173.0,325.0,운중동,1929,0.053395541731467,65,3,0,194,23,1,490,70,193,35,2,255,71,73,1,137,103,45,168
수정구,510,3753.0,1801.0,1256.0,0.3346656008526512,0.0,0.0,29.0,0.0,0.0,90.0,673.0,113.0,578.0,9.0,335.0,123.0,404.0,226.0,0.0,171.0,725.0,76.0,201.0,신흥1동,573,0.0069808027923211,18,2,0,14,23,0,148,43,21,13,0,95,14,91,0,11,4,20,56
