gu_name,행정구역읍면동코드,total_workers,regular_workers,self_employed,self_employed_ratio,industry_A,industry_B,industry_C,industry_D,industry_E,industry_F,industry_G,industry_H,industry_I,industry_J,industry_K,industry_L,industry_M,industry_N,industry_O,industry_P,industry_Q,industry_R,industry_S
분당구,510,3179.0,1902.0,824.0,0.2592010066058509,0.0,0.0,5.0,297.0,0.0,273.0,504.0,169.0,136.0,46.0,0.0,155.0,513.0,55.0,0.0,474.0,340.0,44.0,168.0
분당구,520,2326.0,1154.0,709.0,0.30481513327601034,0.0,0.0,6.0,0.0,0.0,118.0,277.0,282.0,243.0,24.0,0.0,112.0,38.0,12.0,0.0,702.0,323.0,65.0,124.0
분당구,530,21862.0,14805.0,2157.0,0.09866434909889306,0.0,0.0,502.0,5.0,0.0,2695.0,4175.0,235.0,1581.0,4788.0,932.0,776.0,1783.0,322.0,780.0,1496.0,806.0,223.0,763.0
분당구,540,1895.0,912.0,670.0,0.35356200527704484,0.0,0.0,18.0,0.0,0.0,86.0,374.0,21.0,156.0,15.0,26.0,207.0,67.0,11.0,0.0,566.0,172.0,85.0,91.0
분당구,550,1285.0,582.0,467.0,0.36342412451361866,0.0,0.0,0.0,6.0,0.0,70.0,242.0,88.0,46.0,27.0,0.0,132.0,38.0,17.0,0.0,262.0,232.0,54.0,71.0
분당구,560,3955.0,2908.0,535.0,0.13527180783817952,0.0,0.0,3.0,0.0,0.0,28.0,581.0,41.0,211.0,720.0,0.0,239.0,601.0,325.0,0.0,679.0,275.0,79.0,173.0
분당구,580,34876.0,24594.0,3834.0,0.10993233168941392,0.0,0.0,224.0,3.0,0.0,1662.0,5777.0,509.0,3390.0,5751.0,3470.0,1111.0,3291.0,484.0,891.0,1693.0,4460.0,803.0,1357.0
분당구,590,3077.0,1273.0,1079.0,0.3506662333441664,0.0,0.0,22.0,0.0,0.0,65.0,564.0,37.0,426.0,44.0,60.0,188.0,74.0,43.0,0.0,718.0,522.0,103.0,211.0
분당구,600,4985.0,3059.0,976.0,0.19578736208625877,0.0,0.0,25.0,3.0,0.0,466.0,789.0,92.0,272.0,209.0,33.0,249.0,499.0,221.0,48.0,1065.0,639.0,117.0,258.0
분당구,610,2087.0,1073.0,627.0,0.30043124101581214,0.0,0.0,15.0,0.0,0.0,220.0,312.0,44.0,111.0,26.0,22.0,149.0,108.0,57.0,0.0,526.0,270.0,120.0,107.0
분당구,620,27057.0,19162.0,2680.0,0.0990501533799017,0.0,0.0,353.0,0.0,62.0,2812.0,3691.0,476.0,2324.0,1288.0,878.0,698.0,1975.0,5152.0,320.0,643.0,5303.0,344.0,738.0
