구,법정동명,단지명,지번주소,도로명주소,지상층(고),동수,세대수,관리사무소,기준일자
분당구,구미동,까치마을건영빌라5단지,12, 미금일로 136,4.0,9,208,031-717-0912,2025-07-05
분당구,구미동,"까치마을건영빌라3,6단지",13, 미금일로 122,4.0,16,332,031-716-1021,2025-07-05
분당구,구미동,까치마을4단지롯데선경,63, 미금일로 58,22.0,16,1124,031-715-6697,2025-07-05
분당구,구미동,하얀마을그랜드빌라,111, 미금로 114,4.0,37,324,031-717-4553,2025-07-05
분당구,구미동,하얀마을 화이트빌,121, 금곡로 39,4.0,18,192,031-716-0407,2025-07-05
분당구,구미동,까치마을신원,66, 미금로 177,25.0,14,882,031-715-3339,2025-07-05
분당구,구미동,까치마을1단지대우,77, 미금로 184,25.0,16,976,031-715-6278,2025-07-05
분당구,구미동,까치마을주공2단지,88, 미금일로 22,25.0,9,768,031-715-0403,2025-07-05
분당구,구미동,하얀마을 주공5단지,110, 미금일로 21,21.0,7,779,031-717-3403,2025-07-05
분당구,구미동,하얀마을 주공6단지,112, 미금일로 57,21.0,14,1489,031-717-1216,2025-07-05
분당구,구미동,무지개마을신한건영,201, 미금로 63,20.0,12,964,031-715-3594,2025-07-05
분당구,구미동,무지개마을LG,202, 구미로 50,20.0,14,888,031-717-0903,2025-07-05
분당구,구미동,무지개마을대림,211, 미금로 23,27.0,11,778,031-718-2137,2025-07-05
분당구,구미동,무지개마을주공12단지,212, 미금로22번길 10,25.0,9,905,031-715-2283,2025-07-05
분당구,구미동,무지개마을금강,213, 미금로22번길 9,19.0,3,216,031-717-4609,2025-07-05
분당구,구미동,무지개마을주공4단지,220, 미금로 66,25.0,5,563,031-717-1467,2025-07-05
분당구,구미동,무지개마을청구,221, 무지개로 144,23.0,13,932,031-718-0735,2025-07-05
분당구,구미동,무지개마을삼성건영,222, 구미로 100,19.0,8,498,031-717-5244,2025-07-05
분당구,구미동,무지개마을건영6단지(건영3차),225, 구미로 115,16.0,4,208,031-717-4847,2025-07-05
분당구,구미동,무지개마을라이프,242, 구미로 143,19.0,4,222,031-717-8621,2025-07-05
분당구,구미동,무지개마을제일,243, 구미로144번길 7,18.0,3,172,031-715-2939,2025-07-05
분당구,금곡동,청솔마을주공5단지 공무원,125, 금곡로 263,20.0,8,474,031-714-4069,2025-07-05
분당구,금곡동,청솔마을주공6단지,126, 미금로 246,20.0,9,1250,031-713-1038,2025-07-05
분당구,금곡동,청솔마을동아,132, 금곡로 233,18.0,4,204,031-712-7201,2025-07-05
분당구,금곡동,청솔마을주공9단지,133, 금곡로 233,20.0,6,1020,031-717-6261,2025-07-05
분당구,금곡동,청솔마을대원,141, 미금로 215,25.0,14,820,031-713-1379,2025-07-05
분당구,금곡동,청솔마을성원,143, 미금로 251,25.0,9,454,031-713-8476,2025-07-05
분당구,금곡동,청솔마을계룡,176, 정자일로 30,24.0,6,492,031-719-1351,2025-07-05
분당구,금곡동,청솔마을서광영남,177, 성남대로171번길 8,21.0,6,408,031-718-2555,2025-07-05
분당구,금곡동,청솔마을화인,180, 정자일로 46,25.0,8,624,031-716-9155,2025-07-05
분당구,금곡동,청솔마을한라,181, 정자일로 72,22.0,10,768,031-714-8955,2025-07-05
분당구,금곡동,분당 두산위브 트레지움,192, 정자일로 55,20.0,9,656,031-713-9929,2025-07-05
분당구,금곡동,코오롱더프라우,201, 정자일로 27,33.0,1,164,031-726-3843,2025-07-05
분당구,금곡동,분당하우스토리,202, 정자일로 15,20.0,3,212,031-718-8131,2025-07-05
분당구,대장동,판교퍼스트힐푸르지오 1단지,50, 판교대장로7길 69,20.0,10,529,031-726-0529,2025-07-05
분당구,대장동,판교퍼스트힐푸르지오 2단지,54, 판교대장로7길 57,20.0,8,445,031-726-0445,2025-07-05
분당구,대장동,더샵판교포레스트12단지,287, 판교대장로5길 30,20.0,9,542,031-719-9566,2025-07-05
분당구,대장동,판교풍경채어바니티5단지아파트,299, 판교대장로5길 20,20.0,8,589,031-711-2008,2025-07-05
