행정동코드,ADM_CD,구,행정동명,법정동추정명,지도기준일자,기준연월,세대수,총인구,19세이상인구,65세이상인구,생산가능인구_19_64세
31021510,31021510,수정구,신흥1동,신흥동,20250630,2026-03,7409,11971,11256,3178,8078
31021520,31021520,수정구,신흥2동,신흥동,20250630,2026-03,12310,31527,26618,5319,21299
31021530,31021530,수정구,신흥3동,신흥동,20250630,2026-03,6455,10623,9957,2640,7317
31021540,31021540,수정구,태평1동,태평동,20250630,2026-03,8252,13530,12795,3647,9148
31021550,31021550,수정구,태평2동,태평동,20250630,2026-03,7535,13568,12549,3425,9124
31021560,31021560,수정구,태평3동,태평동,20250630,2026-03,6299,11497,10612,3071,7541
31021570,31021570,수정구,태평4동,태평동,20250630,2026-03,5907,10833,9893,2680,7213
31021580,31021580,수정구,수진1동,수진동,20250630,2026-03,6674,10701,10151,3225,6926
31021590,31021590,수정구,수진2동,수진동,20250630,2026-03,7480,14263,13169,4045,9124
31021600,31021600,수정구,단대동,단대동,20250630,2026-03,6508,14102,12565,3361,9204
31021610,31021610,수정구,산성동,산성동,20250630,2026-03,2093,4377,3942,1143,2799
31021620,31021620,수정구,양지동,양지동,20250630,2026-03,4249,8842,8038,2239,5799
31021670,31021670,수정구,복정동,복정동,20250630,2026-03,7875,13540,11817,1512,10305
31021680,31021680,수정구,위례동,위례동,20250630,2026-03,18748,45248,36691,7380,29311
31021640,31021640,수정구,신촌동,신촌동,20250630,2026-03,1991,4452,3676,624,3052
31021650,31021650,수정구,고등동,고등동,20250630,2026-03,5280,11670,9876,1821,8055
31021660,31021660,수정구,시흥동,시흥동,20250630,2026-03,2180,3592,3342,749,2593
31022510,31022510,중원구,성남동,성남동,20250630,2026-03,18466,31792,29460,7267,22193
31022620,31022620,중원구,중앙동,중앙동,20250630,2026-03,7524,16540,14218,3312,10906
31022530,31022530,중원구,금광1동,금광동,20250630,2026-03,8249,19592,16339,2977,13362
31022540,31022540,중원구,금광2동,금광동,20250630,2026-03,11839,23230,21041,5420,15621
31022550,31022550,중원구,은행1동,은행동,20250630,2026-03,4408,9259,8289,1964,6325
31022560,31022560,중원구,은행2동,은행동,20250630,2026-03,10561,20383,18768,5317,13451
31022570,31022570,중원구,상대원1동,상대원동,20250630,2026-03,11516,22293,20170,5428,14742
31022580,31022580,중원구,상대원2동,상대원동,20250630,2026-03,1515,2890,2623,751,1872
31022590,31022590,중원구,상대원3동,상대원동,20250630,2026-03,6304,11010,10160,3032,7128
31022600,31022600,중원구,하대원동,하대원동,20250630,2026-03,8365,19467,17240,4487,12753
31022610,31022610,중원구,도촌동,도촌동,20250630,2026-03,10843,25686,21577,4850,16727
31023510,31023510,분당구,분당동,분당동,20250630,2026-03,10065,24357,20590,4441,16149
31023530,31023530,분당구,수내1동,수내동,20250630,2026-03,7871,17827,14692,2616,12076
31023540,31023540,분당구,수내2동,수내동,20250630,2026-03,3193,10344,7598,1264,6334
31023520,31023520,분당구,수내3동,수내동,20250630,2026-03,5130,13158,10400,1589,8811
31023780,31023780,분당구,정자동,정자동,20250630,2026-03,6248,13712,11804,2391,9413
31023770,31023770,분당구,정자1동,정자동,20250630,2026-03,14112,30369,25580,4398,21182
31023550,31023550,분당구,정자2동,정자동,20250630,2026-03,7098,13886,12229,2863,9366
31023560,31023560,분당구,정자3동,정자동,20250630,2026-03,6644,16491,13663,2576,11087
31023580,31023580,분당구,서현1동,서현동,20250630,2026-03,12685,30588,25319,4589,20730
31023590,31023590,분당구,서현2동,서현동,20250630,2026-03,6546,17215,14392,2868,11524
31023600,31023600,분당구,이매1동,이매동,20250630,2026-03,9031,24534,20217,4041,16176
31023610,31023610,분당구,이매2동,이매동,20250630,2026-03,4368,12768,10462,2457,8005
31023620,31023620,분당구,야탑1동,야탑동,20250630,2026-03,7563,16467,14475,3502,10973
31023640,31023640,분당구,야탑2동,야탑동,20250630,2026-03,5995,15551,13110,3587,9523
31023630,31023630,분당구,야탑3동,야탑동,20250630,2026-03,12729,26547,23452,5568,17884
31023710,31023710,분당구,금곡동,금곡동,20250630,2026-03,11972,26667,23323,5837,17486
31023670,31023670,분당구,구미동,구미동,20250630,2026-03,12639,27854,24456,6176,18280
31023720,31023720,분당구,구미1동,구미동,20250630,2026-03,6914,16037,13850,2867,10983
31023750,31023750,분당구,판교동,판교동,20250630,2026-03,8983,26324,20285,3123,17162
31023740,31023740,분당구,삼평동,삼평동,20250630,2026-03,9090,23520,19047,3253,15794
31023760,31023760,분당구,백현동,백현동,20250630,2026-03,10532,26189,21928,4267,17661
31023680,31023680,분당구,운중동,운중동,20250630,2026-03,14082,38610,30642,4708,25934
