gu_name,dong_name,total_biz,it_ratio,건설업(41~42),"공공 행정, 국방 및 사회보장 행정(84)",광업(05~08),교육 서비스업(85),금융 및 보험업(64~66),"농업, 임업 및 어업(01~03)",도매 및 소매업(45~47),보건업 및 사회복지 서비스업(86~87),부동산업(68),"사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",숙박 및 음식점업(55~56),"예술, 스포츠 및 여가관련 서비스업(90~91)",운수 및 창고업(49~52),"전기, 가스, 증기 및 공기조절 공급업(35)","전문, 과학 및 기술 서비스업(70~73)",정보통신업(58~63),제조업(10~34),"협회 및 단체, 수리 및 기타 개인 서비스업(94~96)"
중원구,갈현동,28,0.0,4,0,0,0,0,0,16,0,1,0,0,0,0,3,0,0,0,3,1
수정구,고등동,1128,0.0629432624113475,51,2,0,38,6,3,382,17,128,27,0,136,14,50,3,89,71,46,65
분당구,구미1동,2017,0.0426375805651958,116,4,1,120,14,1,741,84,119,45,1,252,57,42,2,145,86,52,135
분당구,구미동,2223,0.0656770130454341,90,2,0,167,22,0,584,104,165,42,0,268,68,147,3,161,146,72,182
분당구,궁내동,59,0.0169491525423728,4,2,0,2,0,2,27,0,5,3,0,2,2,0,0,2,1,4,3
분당구,금곡동,1797,0.056761268781302,60,2,0,137,23,0,426,137,126,42,1,196,75,172,0,89,102,46,163
중원구,금광1동,505,0.0039603960396039,18,1,0,56,1,0,102,44,49,11,0,86,22,12,0,10,2,38,53
중원구,금광2동,1860,0.0231182795698924,136,3,1,103,5,0,404,79,110,45,1,349,85,29,0,87,43,129,251
중원구,금광동,335,0.035820895522388,16,0,0,25,2,0,143,10,17,10,1,24,7,19,0,11,12,16,22
수정구,금토동,74,0.2297297297297297,2,0,0,0,0,1,16,0,2,0,0,8,0,2,0,8,17,14,4
수정구,단대동,572,0.0192307692307692,24,6,0,36,6,0,87,31,18,13,2,70,9,163,0,37,11,22,37
분당구,대장동,79,0.050632911392405,1,0,0,12,1,0,41,1,3,2,0,3,0,2,1,3,4,2,3
중원구,도촌동,700,0.0342857142857142,60,2,0,81,4,0,216,41,27,30,3,46,24,18,7,28,24,28,61
분당구,동원동,5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1
분당구,백현동,2511,0.057347670250896,65,1,0,132,34,1,972,59,154,53,0,353,44,142,7,142,144,47,161
수정구,복정동,790,0.0645569620253164,63,2,0,37,4,1,187,15,29,30,4,91,28,83,1,62,51,52,50
분당구,분당동,902,0.0421286031042128,41,1,0,72,0,2,284,29,70,22,0,58,28,71,6,69,38,16,95
