구,법정동명,건축유형,전세_거래건수,전세보증금_평당_중앙값,전세보증금_평당_평균,전세보증금_총액_중앙값,전세_전용면적_중앙값,전세_거래건수_주의
분당구,구미동,단독_다가구,48,1261.4133920204238,1208.057669822146,19040.0,50.0,False
분당구,구미동,아파트,1035,2389.969807760349,2364.557612290093,47000.0,59.98,False
분당구,구미동,연립_다세대,167,2089.9229237031263,2048.3814315156233,48000.0,59.93,False
분당구,구미동,오피스텔,93,1598.1077348066299,1781.2838873450876,17500.0,35.26,False
분당구,궁내동,단독_다가구,14,2130.769606850721,2002.1377078243947,20650.0,30.52,False
분당구,궁내동,연립_다세대,52,1623.807190330594,1700.2194076336368,34000.0,68.4225,False
분당구,금곡동,단독_다가구,1,1542.7066666666667,1542.7066666666667,21000.0,45.0,True
분당구,금곡동,아파트,635,2623.6507936507937,2581.4761164453635,49000.0,58.71,False
분당구,금곡동,연립_다세대,7,1163.3586711711712,1309.1722757998662,25000.0,71.04,False
분당구,금곡동,오피스텔,53,1736.3110195674562,1680.0596169166909,20000.0,36.16,False
분당구,대장동,단독_다가구,18,2192.2313563626913,2039.8031619078695,30750.0,47.269999999999996,False
분당구,대장동,아파트,392,2576.9127697034573,2612.6769783737077,68125.0,84.973,False
분당구,대장동,연립_다세대,62,2859.3698508911293,2681.142543753546,75000.0,84.9906,False
분당구,대장동,오피스텔,33,2038.6432889963723,2085.078510177325,45000.0,82.7,False
분당구,동원동,단독_다가구,1,1502.6363636363637,1502.6363636363637,15000.0,33.0,True
분당구,동원동,연립_다세대,9,1762.905290102389,1851.2303731682227,20000.0,36.64,False
분당구,백현동,단독_다가구,57,1577.7681818181818,1611.0941342828007,32000.0,63.0,False
분당구,백현동,아파트,635,3580.6673732911427,3592.729961380969,98000.0,96.815,False
분당구,백현동,연립_다세대,7,1656.4890596291968,1869.2872063634406,30000.0,59.87,False
분당구,백현동,오피스텔,199,2936.383954154728,3112.9193897711193,29500.0,34.9,False
분당구,분당동,단독_다가구,158,1093.9692947875603,1081.4438793499912,16000.0,50.0,False
분당구,분당동,아파트,344,2279.057411764706,2254.5888653796296,55000.0,84.6,False
분당구,분당동,연립_다세대,93,1752.6036757775685,1750.8990505721492,50000.0,84.985,False
분당구,분당동,오피스텔,9,805.2238608119303,738.1212791731325,8900.0,54.4,False
분당구,삼평동,아파트,592,3291.5222913589705,3316.0970616981635,77000.0,84.2822,False
분당구,삼평동,오피스텔,142,3048.22563640383,3012.53595680715,26000.0,28.5,False
분당구,서현동,단독_다가구,113,1190.088,1253.9118568774586,17000.0,50.0,False
